Pref	Name
N168	Basidiobolus_heterosporus_B8920
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73
EV274	Conidiobolus_antarcticus__ARSEF_6913
Conco1	Conidiobolus_coronatus_NRRL_28638
DFQ34	Conidiobolus_firmipilleus__ARSEF_2731
DFQ31	Conidiobolus_heterosporus__ARSEF_6386
N159	Conidiobolus_incongruus_B7586
H4W82	Conidiobolus_incongruus__NRRL_3022
IWY20	Conidiobolus_incongruus__NRRL_3023
DFQ18	Conidiobolus_lamprauges__ARSEF_2338
EC935	Conidiobolus_lamprauges__NRRL_1229
DFQ16	Conidiobolus_megalotocus__ARSEF_8428
EC987	Conidiobolus_megalotocus__NRRL_3011
EDC06	Conidiobolus_osmodes__ARSEF_79
EC936	Conidiobolus_polytocus__NRRL_1231
EV402	Conidiobolus_pumilus__ARSEF_6383
DFQ17	Conidiobolus_rhysosporus__ARSEF_448
EC989	Conidiobolus_rhysosporus__NRRL_1225
EC986	Conidiobolus_sp.__NRRL_29146
Conth1	Conidiobolus_thromboides_FSU_785
DFQ33	Conidiobolus_thromboides__ARSEF_4968
EC985	Conidiobolus_thromboides__NRRL_1224
Emai2	Entomophaga_maimaiga_ARSEF_7190.run2_Trinity
EMUSC_B	Entomophthora_muscae_Berkeley_v1
DSO57	Entomophthora_muscae_Berkeley_v2
DSO57v2	Entomophthora_muscae_UCB
EmuscRNA	Entomophthora_muscae_UCB_Trinity
Emusc_isoH	Entomophthora_muscae_isoH_Trinity
EMAIFUN	Entomophaga_maimaiga_ARSEF_7190.FUNANNOTATE
Pfor	Pandora_formicae_Trinity
Scas	Strongwellsea_castrans_DrSc_Trinity
Zoorad1	Zoophthora_radicans_ATCC_208865
