DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
AA11.hmm	21	57	56	15	26	24	29	47	0	0	26	27	22	39	10	26	10	27	26	36	25	26	30	60	158	46	21	13	14	89
GT1.hmm	1	9	11	23	34	32	37	42	9	9	31	32	19	34	16	22	10	33	35	34	21	23	32	63	170	32	35	21	25	101
GH18.hmm	19	36	29	24	19	23	31	39	16	17	28	33	23	33	19	17	18	37	38	25	23	23	34	72	112	37	19	18	39	43
CE1.hmm	14	52	51	18	14	13	30	32	19	13	34	37	21	25	9	13	18	17	16	12	20	22	28	29	64	43	16	44	35	28
GT2_Chitin_synth_2.hmm	26	49	43	20	14	18	21	29	25	25	20	19	14	15	9	14	13	27	30	11	12	13	20	36	64	13	16	17	24	48
CE4.hmm	33	80	89	4	4	4	12	8	33	32	14	10	4	7	2	4	3	6	6	5	7	7	12	18	80	16	12	7	13	42
CBM18.hmm	12	64	83	5	3	4	5	6	0	0	3	5	4	3	5	4	1	7	7	2	1	2	6	32	106	23	21	9	18	47
GH47.hmm	5	8	11	6	10	4	14	13	7	7	15	13	8	7	6	5	2	10	11	7	8	8	14	24	62	24	11	18	11	30
AA3_2.hmm	0	1	4	5	9	10	10	6	3	3	6	12	15	14	3	5	20	21	20	17	5	6	12	22	62	8	16	13	14	32
CE16.hmm	2	7	12	5	7	10	11	14	8	10	6	10	11	16	3	5	8	11	11	21	6	5	7	28	38	13	10	1	5	54
GH16_19.hmm	8	13	13	8	9	7	13	17	3	3	11	12	8	15	5	9	5	16	17	11	7	7	13	18	36	16	9	4	8	22
GT15.hmm	0	0	0	7	16	15	8	32	11	12	2	25	13	25	5	12	8	11	11	24	8	6	8	10	10	5	4	3	5	42
GH5_9.hmm	2	5	4	4	5	5	12	14	3	3	10	7	7	10	3	6	8	7	7	7	6	6	12	12	36	10	7	5	9	51
AA7.hmm	5	17	10	5	7	6	4	13	1	1	3	2	16	23	4	6	4	7	9	11	2	2	4	8	58	11	6	1	2	28
GH72.hmm	2	3	2	5	5	4	13	11	1	1	11	7	3	11	2	6	5	10	10	8	8	7	10	14	24	8	6	5	10	47
GH20.hmm	10	25	19	6	5	3	5	9	3	3	5	4	8	10	4	6	2	9	10	4	3	3	4	13	26	6	5	16	6	22
GT39.hmm	5	9	9	6	4	4	8	8	8	10	14	11	4	7	4	4	5	8	9	4	6	6	11	13	30	16	5	7	7	10
GH17.hmm	3	6	4	11	6	5	9	10	3	2	7	11	4	13	6	6	3	8	8	3	6	6	9	12	34	9	8	3	7	18
AA6.hmm	6	21	14	4	8	8	9	15	3	4	9	6	11	10	3	3	2	3	4	5	10	10	16	4	12	3	3	2	2	4
GT32.hmm	2	3	4	4	8	11	13	11	4	5	11	0	18	16	4	11	6	9	9	16	7	6	13	0	0	0	0	6	0	0
CBM19.hmm	13	27	19	3	3	2	7	2	3	3	13	15	2	4	3	0	2	8	8	4	2	4	6	8	10	5	2	3	2	7
GH16_4.hmm	0	5	1	2	5	6	3	10	1	1	5	5	4	7	2	3	2	3	3	4	2	2	4	19	30	8	6	6	10	30
CBM63.hmm	0	0	0	3	4	5	6	22	0	0	3	6	8	13	2	5	1	2	2	9	3	3	6	17	36	8	6	2	5	8
GT4.hmm	7	8	9	3	3	4	4	5	5	5	4	5	4	7	2	4	5	12	12	4	3	3	5	6	14	17	2	8	7	6
GH31.hmm	4	6	6	4	4	1	6	10	5	6	6	7	9	5	2	3	3	11	10	2	4	4	4	4	14	3	2	9	5	8
GT22.hmm	1	3	6	4	3	2	1	1	3	3	4	4	0	2	3	3	1	3	5	4	4	2	7	7	28	11	3	10	8	8
GH37.hmm	2	6	5	2	2	1	4	4	4	4	2	3	2	3	1	2	1	4	4	3	2	2	4	11	22	6	5	7	5	10
GH3.hmm	1	1	1	2	3	2	4	6	6	6	4	2	2	7	2	3	1	3	3	4	2	2	3	8	18	9	4	2	5	16
CBM14.hmm	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	29	92	0
