HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT24.hmm	248	EC985|EC985_000109-T1	1513	1e-129	1	248	1196	1443	0.9959677419354839
GH47.hmm	446	EC985|EC985_000120-T1	484	2e-128	2	446	51	480	0.9955156950672646
GH25.hmm	177	EC985|EC985_000190-T1	218	3.2e-56	1	176	21	200	0.9887005649717514
AA11.hmm	191	EC985|EC985_000238-T1	307	3.8e-43	2	163	20	175	0.8429319371727748
AA11.hmm	191	EC985|EC985_000239-T1	307	5.7e-44	2	172	20	183	0.8900523560209425
AA11.hmm	191	EC985|EC985_000240-T1	334	8.7e-44	2	172	20	183	0.8900523560209425
AA11.hmm	191	EC985|EC985_000265-T1	206	8.8e-35	12	163	40	180	0.7905759162303665
AA11.hmm	191	EC985|EC985_000266-T1	206	8.3e-37	12	163	40	180	0.7905759162303665
AA11.hmm	191	EC985|EC985_000267-T1	206	2.7e-35	12	162	40	179	0.7853403141361257
AA11.hmm	191	EC985|EC985_000268-T1	206	3.9e-34	17	163	45	180	0.7643979057591623
GT58.hmm	364	EC985|EC985_000323-T1	218	4.9e-52	183	364	4	181	0.49725274725274726
GH18.hmm	296	EC985|EC985_000378-T1	826	2.6e-21	3	197	56	299	0.6554054054054054
GH63.hmm	570	EC985|EC985_000408-T1	844	1.3e-26	318	567	607	815	0.4368421052631579
CBM63.hmm	78	EC985|EC985_000417-T1	371	3.5e-20	2	76	146	219	0.9487179487179487
GH132.hmm	303	EC985|EC985_000508-T1	269	4.1e-69	47	301	20	266	0.8382838283828383
GH18.hmm	296	EC985|EC985_000558-T1	1024	6.5e-22	4	203	623	870	0.6722972972972973
GT3.hmm	637	EC985|EC985_000617-T1	698	1.9e-298	1	625	17	637	0.9795918367346939
GT35.hmm	674	EC985|EC985_000641-T1	894	8.3e-274	3	674	155	871	0.9955489614243324
GH17.hmm	311	EC985|EC985_000646-T1	311	9.5e-25	3	307	40	302	0.977491961414791
GH17.hmm	311	EC985|EC985_000648-T1	300	1.6e-28	15	306	40	291	0.9356913183279743
GH18.hmm	296	EC985|EC985_000714-T1	452	1.1e-57	6	285	2	378	0.9425675675675675
AA7.hmm	458	EC985|EC985_000721-T1	492	2.2e-79	15	458	67	488	0.9672489082969432
GT4.hmm	160	EC985|EC985_000731-T1	448	5e-33	6	149	193	338	0.89375
GT22.hmm	389	EC985|EC985_000906-T1	411	7.5e-55	78	388	2	285	0.7969151670951157
AA1_1.hmm	303	EC985|EC985_000913-T1	579	5.8e-65	1	284	30	336	0.933993399339934
GH13_5.hmm	342	EC985|EC985_000982-T1	530	8.9e-129	2	342	64	404	0.9941520467836257
GT48.hmm	739	EC985|EC985_000989-T1	1821	2.1e-285	3	723	796	1569	0.9742895805142084
GH13_5.hmm	342	EC985|EC985_000991-T1	476	6.8e-151	2	340	26	362	0.9883040935672515
GH18.hmm	296	EC985|EC985_001017-T1	677	1.2e-61	8	292	27	370	0.9594594594594594
GH18.hmm	296	EC985|EC985_001109-T1	468	1.2e-24	4	279	27	309	0.9290540540540541
CE9.hmm	373	EC985|EC985_001142-T1	416	6.4e-123	1	373	23	408	0.9973190348525469
GH47.hmm	446	EC985|EC985_001183-T1	701	2.8e-137	1	445	11	446	0.9955156950672646
AA6.hmm	195	EC985|EC985_001188-T1	950	8.5e-72	1	194	42	235	0.9897435897435898
GT15.hmm	273	EC985|EC985_001288-T1	402	2.1e-112	1	272	80	352	0.9926739926739927
GT15.hmm	273	EC985|EC985_001290-T1	399	9.1e-112	1	272	79	349	0.9926739926739927
GT15.hmm	273	EC985|EC985_001293-T1	375	9.4e-112	2	272	57	325	0.989010989010989
GT66.hmm	693	EC985|EC985_001295-T1	731	1.3e-186	11	601	16	658	0.8513708513708513
GH20.hmm	337	EC985|EC985_001355-T1	559	3.2e-96	7	336	157	495	0.9762611275964391
GT2_Chitin_synth_1.hmm	163	EC985|EC985_001366-T1	830	1.2e-78	1	163	156	318	0.9938650306748467
GT2_Chitin_synth_2.hmm	527	EC985|EC985_001366-T1	830	4.4e-23	204	391	296	489	0.3548387096774194
GH16_2.hmm	326	EC985|EC985_001371-T1	493	1.8e-131	1	326	119	440	0.9969325153374233
GT21.hmm	233	EC985|EC985_001390-T1	492	5.6e-85	1	233	55	286	0.9957081545064378
AA6.hmm	195	EC985|EC985_001542-T1	252	9.3e-64	1	194	8	200	0.9897435897435898
AA6.hmm	195	EC985|EC985_001543-T1	255	4.6e-71	1	193	8	200	0.9846153846153847
