Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
EC987|EC987_000148-T1	GH18(79-183)	N	N	N	1
EC987|EC987_000214-T1	GH17(33-288)	N	N	N	1
EC987|EC987_000258-T1	CE16(27-286)	N	N	N	1
EC987|EC987_000261-T1	CE16(51-286)	N	N	N	1
EC987|EC987_000362-T1	GH18(26-402)	N	N	N	1
EC987|EC987_000382-T1	GT2_Chitin_synth_2(615-1128)	GT2	GT2	N	3
EC987|EC987_000490-T1	GH35(60-298)	N	N	N	1
EC987|EC987_000589-T1	GT1(227-421)	N	N	N	1
EC987|EC987_000598-T1	GT1(167-345)	N	N	N	1
EC987|EC987_000599-T1	GT1(257-428)	N	N	N	1
EC987|EC987_000693-T1	GH72(21-286)	N	N	N	1
EC987|EC987_000696-T1	GT14(97-290)	N	N	N	1
EC987|EC987_000735-T1	AA11(16-179)	N	N	N	1
EC987|EC987_000805-T1	GH72(25-261)	N	N	N	1
EC987|EC987_000889-T1	GT71(229-517)	N	N	N	1
EC987|EC987_000911-T1	GT1(259-446)	N	N	N	1
EC987|EC987_000915-T1	GT1(245-436)	N	N	N	1
EC987|EC987_000916-T1	GT1(214-439)	N	N	N	1
EC987|EC987_001067-T1	GH18(65-229)	GH18+CBM18	N	N	2
EC987|EC987_001133-T1	GT2_Chitin_synth_2(1406-1930)	GT2	GT2	N	3
EC987|EC987_001280-T1	GH3(120-342)	GH3	GH3	Y(1-19)	3
EC987|EC987_001281-T1	GH3(119-342)	GH3	GH3	N	3
EC987|EC987_001282-T1	AA11(44-199)	N	N	N	1
EC987|EC987_001284-T1	AA11(54-182)	N	N	Y(1-32)	1
EC987|EC987_001285-T1	AA11(60-184)	N	N	Y(1-32)	1
EC987|EC987_001287-T1	AA11(45-199)	N	N	N	1
EC987|EC987_001288-T1	AA11(30-167)	N	N	N	1
EC987|EC987_001289-T1	AA11(61-182)	N	N	Y(1-23)	1
EC987|EC987_001296-T1	AA11(62-184)	N	N	Y(1-34)	1
EC987|EC987_001331-T1	GH17(46-312)	N	N	Y(1-24)	1
EC987|EC987_001334-T1	GT2_Chitin_synth_2(1184-1686)	GT2	GT2	N	3
EC987|EC987_001430-T1	GT15(82-350)	GT15	GT15	N	3
EC987|EC987_001431-T1	GT15(65-342)	GT15	GT15	N	3
EC987|EC987_001432-T1	GT15(92-361)	GT15	GT15	N	3
EC987|EC987_001433-T1	GT15(88-357)	GT15	GT15	N	3
EC987|EC987_001434-T1	GT15(88-358)	GT15	GT15	N	3
EC987|EC987_001435-T1	GT15(68-337)	GT15	GT15	N	3
EC987|EC987_001527-T1	GT2_Chitin_synth_2(548-752)	GT2	N	N	2
EC987|EC987_001560-T1	GH5_9(175-500)	GH5	GH5_9	N	3
EC987|EC987_001561-T1	GH5_9(198-523)	GH5	GH5_9	N	3
EC987|EC987_001562-T1	GT2_Chitin_synth_2(598-1129)	GT2	GT2	N	3
EC987|EC987_001761-T1	GH17(45-288)	N	N	N	1
EC987|EC987_001786-T1	AA2(122-360)	N	AA2	Y(1-48)	2
EC987|EC987_001860-T1	GH25(25-204)	GH25	N	Y(1-20)	2
EC987|EC987_001861-T1	GH25(25-208)	GH25	N	Y(1-20)	2
EC987|EC987_001862-T1	GH25(26-167)	N	N	Y(1-20)	1
EC987|EC987_001863-T1	GH25(44-187)	N	N	N	1
EC987|EC987_001907-T1	GH16_19(112-280)	N	N	Y(1-26)	1
EC987|EC987_001961-T1	GH18(1-135)	N	N	N	1
EC987|EC987_001979-T1	GH5_9(175-500)	GH5	GH5_9	N	3
EC987|EC987_001980-T1	GH5_9(198-523)	GH5	GH5_9	N	3
EC987|EC987_001981-T1	GT2_Chitin_synth_2(599-1130)	GT2	GT2	N	3
EC987|EC987_002056-T1	CE4(48-169)	N	N	N	1
EC987|EC987_002102-T1	CE1(1-239)	N	N	N	1
EC987|EC987_002103-T1	CE1(23-277)	N	N	N	1
EC987|EC987_002134-T1	GT4(188-305)	GT4	N	N	2
EC987|EC987_002145-T1	GT33(3-431)	GT33	N	N	2
EC987|EC987_002275-T1	AA3_2(37-610)	AA3	AA3	N	3
EC987|EC987_002376-T1	GT1(257-463)	N	N	N	1
EC987|EC987_002387-T1	GT20(8-479)	GT20+CBM20	GT20	N	3
EC987|EC987_002417-T1	GT69(139-390)	N	N	N	1
EC987|EC987_002420-T1	GT2_Chitin_synth_2(1227-1713)	GT2	GT2	N	3
EC987|EC987_002449-T1	GT39(95-333)	GT39	GT39	N	3
EC987|EC987_002590-T1	GH47(54-481)	GH47	GH47	N	3
EC987|EC987_002716-T1	GH132(129-448)	GH132	N	N	2
EC987|EC987_002746-T1	GT59(88-314)	N	N	N	1
EC987|EC987_002815-T1	GT4(210-388)	GT4	GT4	N	3
EC987|EC987_002883-T1	GH13_5(31-372)	GH13+CBM20	GH13_5	N	3
EC987|EC987_002995-T1	GT15(70-338)	N	N	N	1
EC987|EC987_003013-T1	GT71(159-425)	N	N	N	1
EC987|EC987_003014-T1	GT71(230-497)	N	N	N	1
EC987|EC987_003015-T1	GT71(185-373)	N	N	N	1
EC987|EC987_003017-T1	GT71(152-419)	N	N	N	1
EC987|EC987_003021-T1	GH38(252-511)	GH38	GH38	N	3
EC987|EC987_003031-T1	AA6(5-198)	N	N	N	1
EC987|EC987_003491-T1	GT8(7-280)	N	N	N	1
EC987|EC987_003508-T1	GH25(25-204)	GH25	N	Y(1-20)	2
EC987|EC987_003509-T1	GH25(31-197)	N	N	Y(1-20)	1
EC987|EC987_003510-T1	GH25(25-199)	GH25	N	N	2
EC987|EC987_003511-T1	GH25(25-204)	GH25	N	Y(1-20)	2
EC987|EC987_003512-T1	GH25(26-200)	N	N	N	1
EC987|EC987_003537-T1	GH18(49-293)	CBM19	N	Y(1-23)	2
EC987|EC987_003689-T1	GH16_19(105-272)	N	N	N	1
EC987|EC987_003821-T1	AA11(51-186)	N	N	Y(1-34)	1
EC987|EC987_003839-T1	GH47(47-472)	GH47	GH47	N	3
EC987|EC987_003840-T1	GH47(55-483)	GH47	GH47	N	3
EC987|EC987_004169-T1	GH31(353-583)	GH31	CBM51+GH31	N	3
EC987|EC987_004232-T1	GH13_25(1079-1527)	GH133	GH13_25+GH133	N	3
EC987|EC987_004239-T1	GH17(37-288)	N	N	Y(1-21)	1
EC987|EC987_004240-T1	GH17(37-288)	N	N	Y(1-20)	1
EC987|EC987_004248-T1	GH20(152-470)	GH20	GH20	N	3
EC987|EC987_004342-T1	GH20(166-505)	N	GH20	Y(1-18)	2
EC987|EC987_004343-T1	GH20(165-504)	N	GH20	N	2
EC987|EC987_004392-T1	GH16_19(112-280)	N	N	Y(1-26)	1
EC987|EC987_004404-T1	GH72(12-310)	GH72	CBM43+GH72	N	3
EC987|EC987_004409-T1	GT15(68-337)	GT15	GT15	N	3
EC987|EC987_004410-T1	GT15(88-358)	GT15	GT15	Y(1-37)	3
EC987|EC987_004411-T1	GT15(76-345)	GT15	GT15	N	3
EC987|EC987_004412-T1	GT15(98-367)	GT15	GT15	N	3
EC987|EC987_004413-T1	GT15(89-366)	GT15	GT15	N	3
EC987|EC987_004414-T1	GT15(89-358)	GT15	GT15	N	3
EC987|EC987_004415-T1	GT15(185-359)	GT15	N	N	2
EC987|EC987_004432-T1	GT8(9-280)	N	N	N	1
EC987|EC987_004438-T1	GT57(42-481)	GT57	GT57	N	3
EC987|EC987_004441-T1	AA3_2(24-618)	N	AA3	N	2
EC987|EC987_004442-T1	AA3_2(26-621)	N	AA3	N	2
EC987|EC987_004459-T1	GT39(46-286)	GT39	GT39	N	3
EC987|EC987_004479-T1	AA3_2(79-338)	N	N	N	1
EC987|EC987_004581-T1	AA11(38-163)	N	N	N	1
EC987|EC987_004635-T1	GT39(95-333)	GT39	GT39	N	3
EC987|EC987_004662-T1	GH18(20-405)	GH18+CBM12+CBM5	N	N	2
EC987|EC987_004663-T1	GH18(24-407)	GH18+CBM12+CBM5	N	N	2
EC987|EC987_004740-T1	GH5_12(403-937)	GH5	GH5_12	N	3
EC987|EC987_004783-T1	AA6(5-198)	N	N	N	1
EC987|EC987_004806-T1	AA11(22-178)	N	N	N	1
EC987|EC987_004810-T1	GH16_19(105-270)	N	N	Y(1-22)	1
EC987|EC987_004911-T1	GT4(188-305)	GT4	N	N	2
EC987|EC987_005030-T1	GH16_3(30-274)	N	N	N	1
EC987|EC987_005129-T1	GH5_9(136-421)	GH5	N	Y(1-46)	2
EC987|EC987_005353-T1	GT4(2-127)	N	N	N	1
EC987|EC987_005375-T1	GT71(41-167)	N	N	N	1
EC987|EC987_005383-T1	GH16_19(84-234)	N	N	N	1
EC987|EC987_005410-T1	GT2_Chitin_synth_2(353-797)	N	N	N	1
EC987|EC987_005428-T1	GT71(221-502)	N	N	N	1
EC987|EC987_005434-T1	GH20(159-501)	N	GH20	N	2
EC987|EC987_005515-T1	GT2_Chitin_synth_2(615-1128)	GT2	GT2	N	3
EC987|EC987_005612-T1	CBM63(131-206)	N	N	Y(1-20)	1
EC987|EC987_005615-T1	CBM63(126-198)	N	N	Y(1-26)	1
EC987|EC987_005616-T1	CBM63(128-201)	N	N	N	1
EC987|EC987_005707-T1	GT2_Glycos_transf_2(6-174)	GT2	GT2	N	3
EC987|EC987_005779-T1	GT1(263-463)	N	N	Y(1-24)	1
EC987|EC987_005807-T1	GH16_19(78-221)	N	N	N	1
EC987|EC987_005919-T1	GH72(27-311)	N	N	N	1
EC987|EC987_005958-T1	GH18(49-301)	CBM19	N	Y(1-23)	2
EC987|EC987_005994-T1	GT15(75-342)	GT15	GT15	N	3
EC987|EC987_005995-T1	GT15(41-309)	GT15	N	N	2
EC987|EC987_005996-T1	GT15(66-333)	GT15	GT15	N	3
EC987|EC987_006001-T1	GH5_9(164-480)	GH5	GH5_9	N	3
EC987|EC987_006017-T1	AA3_2(21-588)	AA3	N	N	2
EC987|EC987_006065-T1	GT1(175-437)	N	N	N	1
EC987|EC987_006129-T1	GH5_9(138-423)	GH5	N	N	2
EC987|EC987_006266-T1	AA3_2(364-704)	N	AA3	N	2
EC987|EC987_006405-T1	GT20(1-292)	GT20	GT20+2.4.1.15	N	3
EC987|EC987_006454-T1	GT1(178-456)	N	N	Y(1-25)	1
EC987|EC987_006455-T1	GT1(260-450)	N	N	N	1
EC987|EC987_006456-T1	GT1(284-458)	N	N	Y(1-23)	1
EC987|EC987_006578-T1	GT2_Chitin_synth_2(1195-1697)	GT2	GT2	N	3
EC987|EC987_006607-T1	GH5_12(421-955)	GH5	GH5_12	N	3
EC987|EC987_006660-T1	CE9(1-335)	CE9	CE9	N	3
EC987|EC987_006678-T1	GT2_Chitin_synth_1(149-311)	GT2	GT2+2.4.1.16	N	3
EC987|EC987_006688-T1	GH20(166-505)	N	GH20	Y(1-18)	2
EC987|EC987_006752-T1	GT1(253-466)	N	N	N	1
EC987|EC987_006771-T1	AA11(16-179)	N	N	N	1
EC987|EC987_006808-T1	GH132(151-454)	N	N	N	1
EC987|EC987_007037-T1	GT39(90-208)+GT39(206-310)	GT39	GT39	N	3
EC987|EC987_007061-T1	AA7(58-490)	N	N	N	1
EC987|EC987_007062-T1	AA7(60-489)	N	N	N	1
EC987|EC987_007191-T1	AA3_2(2-323)	N	N	N	1
EC987|EC987_007252-T1	GH37(140-701)	GH37	GH37	N	3
EC987|EC987_007345-T1	GH72(27-311)	N	N	N	1
EC987|EC987_007370-T1	CE4(48-169)	N	N	N	1
EC987|EC987_007413-T1	GT71(300-568)	N	N	N	1
EC987|EC987_007414-T1	GT71(157-424)	N	N	N	1
EC987|EC987_007415-T1	GT71(234-500)	N	N	N	1
EC987|EC987_007538-T1	GH17(36-301)	N	N	N	1
EC987|EC987_007578-T1	GT66(17-653)	GT66	GT66	N	3
EC987|EC987_007680-T1	GH37(140-701)	GH37	GH37	N	3
EC987|EC987_007692-T1	GH18(26-288)	GH18+CBM1+CBM19	N	N	2
EC987|EC987_007749-T1	AA3_2(20-587)	N	N	N	1
EC987|EC987_007767-T1	GH13_5(52-393)	GH13+CBM20	GH13_5	N	3
EC987|EC987_007771-T1	AA3_2(21-589)	N	N	N	1
EC987|EC987_007815-T1	AA11(40-186)	N	N	N	1
EC987|EC987_007909-T1	GH18(20-275)	GH18+CBM19	GH18	N	3
EC987|EC987_007975-T1	GH5_12(24-557)	GH5	GH5_12	N	3
EC987|EC987_007999-T1	AA7(58-490)	N	N	N	1
EC987|EC987_008035-T1	GT66(17-653)	GT66	GT66	N	3
EC987|EC987_008042-T1	GH18(41-423)	GH18	GH18	N	3
EC987|EC987_008150-T1	GT3(22-638)	GT3	GT3	N	3
EC987|EC987_008152-T1	CE4(38-158)	N	N	Y(1-28)	1
EC987|EC987_008242-T1	GH18(15-294)	GH18+CBM18	N	N	2
EC987|EC987_008335-T1	CBM63(137-207)	N	N	N	1
EC987|EC987_008393-T1	AA2(24-261)	N	N	N	1
EC987|EC987_008500-T1	GH72(20-317)	GH72	CBM43+GH72	Y(1-19)	3
EC987|EC987_008694-T1	GH5_9(73-376)	GH5	GH5_9	N	3
EC987|EC987_008839-T1	GH18(23-364)	GH18	N	Y(1-22)	2
EC987|EC987_008844-T1	GH18(1-262)	N	N	N	1
EC987|EC987_008934-T1	GH31(354-586)	GH31+CBM32+CBM51	CBM51+GH31	N	3
EC987|EC987_008948-T1	GH18(10-351)	GH18	N	N	2
EC987|EC987_008949-T1	GH18(22-364)	GH18	N	Y(1-56)	2
EC987|EC987_008950-T1	GH18(24-364)	N	N	Y(1-22)	1
