# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	L0F63_004327-T1	2924.1	2906	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	L0F63_005729-T1	1173.0	2156	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	L0F63_006098-T1	2992.1	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	L0F63_004382-T1	1643.0	1437	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	L0F63_005344-T1	1140.1	1694	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	L0F63_002363-T1	1710.7	1782	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	L0F63_007390-T1	3076.4	1821	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	L0F63_003684-T1	640.9	917	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	L0F63_003479-T1	407.3	997	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	L0F63_003673-T1	814.4	817	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	L0F63_004521-T1	1076.3	892	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	L0F63_006922-T1	1758.9	1380	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	L0F63_005776-T1	697.2	999	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	L0F63_000876-T1	195.9	641	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	L0F63_006594-T1	534.0	620	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	L0F63_004450-T1	1974.7	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Missing
10531at4751	Fragmented	L0F63_006616-T1	462.8	454	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	L0F63_002155-T1	1337.2	1015	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	L0F63_000047-T1	271.4	470	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	L0F63_003179-T1	185.3	555	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	L0F63_000544-T1	539.8	1224	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	L0F63_002102-T1	1201.4	803	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	L0F63_000782-T1	1107.7	800	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	L0F63_002423-T1	1576.7	1208	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	L0F63_001727-T1	852.3	886	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	L0F63_007097-T1	321.4	761	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	L0F63_003779-T1	752.1	712	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	L0F63_006011-T1	746.0	592	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	L0F63_001819-T1	196.1	584	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	L0F63_005691-T1	1080.0	765	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Missing
21651at4751	Missing
21689at4751	Complete	L0F63_006855-T1	546.4	650	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	L0F63_002213-T1	1198.3	827	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Missing
23198at4751	Complete	L0F63_002450-T1	1405.6	1102	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	L0F63_000805-T1	654.8	995	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	L0F63_000346-T1	377.4	781	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	L0F63_002688-T1	709.1	722	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Missing
26329at4751	Complete	L0F63_000822-T1	549.5	818	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Missing
29512at4751	Missing
31256at4751	Missing
31324at4751	Complete	L0F63_003206-T1	410.6	678	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	L0F63_002404-T1	518.0	658	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	L0F63_001037-T1	750.1	649	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Fragmented	L0F63_005611-T1	128.6	373	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	L0F63_003252-T1	586.3	688	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	L0F63_002318-T1	784.0	842	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	L0F63_003149-T1	327.0	499	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	L0F63_005631-T1	808.9	606	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	L0F63_001736-T1	782.5	490	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	L0F63_007170-T1	218.1	378	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	L0F63_006622-T1	232.9	495	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	L0F63_001252-T1	551.9	533	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	L0F63_003999-T1	371.4	458	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	L0F63_006623-T1	145.2	519	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	L0F63_005829-T1	344.4	590	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	L0F63_001087-T1	800.5	703	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Missing
46666at4751	Complete	L0F63_006850-T1	748.8	848	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	L0F63_006761-T1	612.2	732	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Duplicated	L0F63_004681-T1	374.5	410	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
46918at4751	Duplicated	L0F63_006589-T1	358.0	379	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	L0F63_004578-T1	623.9	644	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	L0F63_001801-T1	1103.2	839	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	L0F63_000136-T1	540.9	470	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	L0F63_005534-T1	695.4	568	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	L0F63_001749-T1	486.9	477	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	L0F63_002104-T1	841.7	639	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	L0F63_001282-T1	499.8	436	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	L0F63_006726-T1	700.3	651	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	L0F63_003372-T1	712.2	816	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	L0F63_001738-T1	846.9	658	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	L0F63_002164-T1	412.4	379	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	L0F63_005293-T1	279.8	396	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	L0F63_005294-T1	204.9	523	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	L0F63_001687-T1	762.2	759	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	L0F63_005899-T1	943.8	674	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	L0F63_004390-T1	217.9	662	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	L0F63_006427-T1	630.4	676	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	L0F63_004004-T1	200.8	318	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	L0F63_004011-T1	433.9	521	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	L0F63_007238-T1	126.1	442	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	L0F63_006895-T1	330.7	384	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	L0F63_003731-T1	776.2	717	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	L0F63_000827-T1	275.9	331	https://www.orthodb.org/v10?query=63838at4751	AP complex subunit beta
64002at4751	Complete	L0F63_007315-T1	554.8	552	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	L0F63_003473-T1	787.7	504	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Missing
65499at4751	Missing
66151at4751	Complete	L0F63_006272-T1	296.6	468	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Missing
67399at4751	Complete	L0F63_006348-T1	559.6	482	https://www.orthodb.org/v10?query=67399at4751	Glutamine-dependent NAD(+) synthetase
67806at4751	Complete	L0F63_007137-T1	263.8	403	https://www.orthodb.org/v10?query=67806at4751	actin-like ATPase domain-containing protein
68466at4751	Complete	L0F63_001344-T1	951.8	796	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Missing
71039at4751	Complete	L0F63_005694-T1	1029.1	714	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Complete	L0F63_001746-T1	578.2	639	https://www.orthodb.org/v10?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	L0F63_003800-T1	625.7	480	https://www.orthodb.org/v10?query=73383at4751	DNA topoisomerase I
73477at4751	Complete	L0F63_006632-T1	562.1	403	https://www.orthodb.org/v10?query=73477at4751	Vacuolar protein 8
73771at4751	Complete	L0F63_005798-T1	680.0	657	https://www.orthodb.org/v10?query=73771at4751	WD40-repeat-containing domain
75033at4751	Missing
75456at4751	Missing
75463at4751	Complete	L0F63_007214-T1	617.1	589	https://www.orthodb.org/v10?query=75463at4751	Mitochondrial intermediate peptidase
75709at4751	Complete	L0F63_005343-T1	825.6	740	https://www.orthodb.org/v10?query=75709at4751	Lysophospholipase NTE1
75976at4751	Complete	L0F63_000753-T1	579.5	494	https://www.orthodb.org/v10?query=75976at4751	Calcium permease family membrane transporter
76196at4751	Complete	L0F63_004755-T1	520.9	351	https://www.orthodb.org/v10?query=76196at4751	Histidine biosynthesis trifunctional protein
76893at4751	Complete	L0F63_004073-T1	792.4	549	https://www.orthodb.org/v10?query=76893at4751	ATPase, AAA-type, conserved site
76975at4751	Fragmented	L0F63_003212-T1	207.0	352	https://www.orthodb.org/v10?query=76975at4751	Exocyst complex component Sec5
78289at4751	Complete	L0F63_000287-T1	553.4	474	https://www.orthodb.org/v10?query=78289at4751	Fimbrin
78665at4751	Complete	L0F63_002710-T1	308.7	446	https://www.orthodb.org/v10?query=78665at4751	Spindle pole body component
79262at4751	Complete	L0F63_002006-T1	771.6	488	https://www.orthodb.org/v10?query=79262at4751	Electron transfer flavoprotein-ubiquinone oxidoreductase
79294at4751	Complete	L0F63_000231-T1	702.8	447	https://www.orthodb.org/v10?query=79294at4751	Bifunctional purine biosynthesis protein ADE17
79797at4751	Complete	L0F63_000697-T1	495.8	668	https://www.orthodb.org/v10?query=79797at4751	WD40-repeat-containing domain
79988at4751	Complete	L0F63_002094-T1	89.8	177	https://www.orthodb.org/v10?query=79988at4751	Polynucleotide 5'-hydroxyl-kinase grc3
81295at4751	Complete	L0F63_006005-T1	738.3	424	https://www.orthodb.org/v10?query=81295at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
81614at4751	Missing
81687at4751	Fragmented	L0F63_001656-T1	577.7	357	https://www.orthodb.org/v10?query=81687at4751	asparagine synthase (glutamine-hydrolyzing)
84250at4751	Fragmented	L0F63_002553-T1	194.2	406	https://www.orthodb.org/v10?query=84250at4751	TRAPP II complex, TRAPPC10
84829at4751	Complete	L0F63_006930-T1	219.4	228	https://www.orthodb.org/v10?query=84829at4751	DUF747-domain-containing protein
85793at4751	Fragmented	L0F63_003961-T1	205.1	421	https://www.orthodb.org/v10?query=85793at4751	cohesin complex subunit SA-1/2
86293at4751	Missing
87251at4751	Complete	L0F63_002357-T1	650.5	806	https://www.orthodb.org/v10?query=87251at4751	Ribosomal RNA-processing protein 12
87313at4751	Complete	L0F63_004430-T1	855.6	441	https://www.orthodb.org/v10?query=87313at4751	Elongator complex protein 3
90022at4751	Complete	L0F63_005202-T1	136.0	192	https://www.orthodb.org/v10?query=90022at4751	nucleotide-diphospho-sugar transferase
91135at4751	Complete	L0F63_006755-T1	188.3	373	https://www.orthodb.org/v10?query=91135at4751	Far11/STRP, C-terminal
92267at4751	Complete	L0F63_001666-T1	589.0	407	https://www.orthodb.org/v10?query=92267at4751	Phenylalanyl-tRNA synthetase
93783at4751	Complete	L0F63_006591-T1	247.0	506	https://www.orthodb.org/v10?query=93783at4751	ER membrane protein complex subunit 1
94384at4751	Complete	L0F63_000389-T1	373.4	421	https://www.orthodb.org/v10?query=94384at4751	DNA topoisomerase
94628at4751	Complete	L0F63_005030-T1	791.2	516	https://www.orthodb.org/v10?query=94628at4751	DNA helicase
95253at4751	Complete	L0F63_007373-T1	227.0	558	https://www.orthodb.org/v10?query=95253at4751	WD40-repeat-containing domain
96633at4751	Complete	L0F63_001625-T1	403.7	576	https://www.orthodb.org/v10?query=96633at4751	Cleavage and polyadenylation specificity factor subunit 2
97141at4751	Missing
98519at4751	Complete	L0F63_006538-T1	121.5	519	https://www.orthodb.org/v10?query=98519at4751	Symplekin/Pta1
98733at4751	Complete	L0F63_004555-T1	874.3	540	https://www.orthodb.org/v10?query=98733at4751	threonyl-tRNA synthetase
98739at4751	Complete	L0F63_001346-T1	512.6	423	https://www.orthodb.org/v10?query=98739at4751	Homoaconitase, mitochondrial
100957at4751	Missing
101133at4751	Complete	L0F63_002527-T1	419.0	404	https://www.orthodb.org/v10?query=101133at4751	Phosphoribosylaminoimidazole carboxylase
103183at4751	Complete	L0F63_006112-T1	617.4	605	https://www.orthodb.org/v10?query=103183at4751	DNA repair protein
103461at4751	Complete	L0F63_002948-T1	760.6	674	https://www.orthodb.org/v10?query=103461at4751	P-loop containing nucleoside triphosphate hydrolase protein
103836at4751	Complete	L0F63_005980-T1	319.1	375	https://www.orthodb.org/v10?query=103836at4751	WD40-repeat-containing domain
104173at4751	Complete	L0F63_004092-T1	311.7	451	https://www.orthodb.org/v10?query=104173at4751	Noc2-domain-containing protein
104415at4751	Missing
105401at4751	Complete	L0F63_006528-T1	1005.2	556	https://www.orthodb.org/v10?query=105401at4751	GroEL-like apical domain superfamily
106281at4751	Complete	L0F63_003346-T1	521.2	926	https://www.orthodb.org/v10?query=106281at4751	endosomal peripheral membrane protein
107136at4751	Complete	L0F63_006148-T1	665.8	558	https://www.orthodb.org/v10?query=107136at4751	glycoside hydrolase family 31 protein
107464at4751	Missing
109276at4751	Complete	L0F63_005022-T1	316.6	393	https://www.orthodb.org/v10?query=109276at4751	CCAAT-box-binding transcription factor
111022at4751	Missing
111189at4751	Complete	L0F63_005250-T1	625.2	563	https://www.orthodb.org/v10?query=111189at4751	ATP-dependent RNA helicase DBP10
112646at4751	Complete	L0F63_001059-T1	41.6	223	https://www.orthodb.org/v10?query=112646at4751	oligomeric Golgi complex subunit 6
112937at4751	Complete	L0F63_002674-T1	422.9	449	https://www.orthodb.org/v10?query=112937at4751	P-loop containing nucleoside triphosphate hydrolase protein
115993at4751	Duplicated	L0F63_004438-T1	578.3	473	https://www.orthodb.org/v10?query=115993at4751	Ribosome biogenesis protein ERB1
115993at4751	Duplicated	L0F63_006336-T1	575.9	450	https://www.orthodb.org/v10?query=115993at4751	Ribosome biogenesis protein ERB1
117017at4751	Complete	L0F63_004579-T1	628.2	453	https://www.orthodb.org/v10?query=117017at4751	Methionyl-tRNA synthetase
118189at4751	Missing
118701at4751	Fragmented	L0F63_006534-T1	573.9	494	https://www.orthodb.org/v10?query=118701at4751	Phosphatidylinositol 3-kinase VPS34
119833at4751	Fragmented	L0F63_006290-T1	328.7	341	https://www.orthodb.org/v10?query=119833at4751	Histone-lysine N-methyltransferase
122507at4751	Complete	L0F63_006276-T1	348.0	456	https://www.orthodb.org/v10?query=122507at4751	WD40-repeat-containing domain
122824at4751	Missing
123228at4751	Complete	L0F63_005984-T1	856.9	656	https://www.orthodb.org/v10?query=123228at4751	Ribosome biogenesis protein BMS1
123277at4751	Complete	L0F63_005664-T1	908.0	1008	https://www.orthodb.org/v10?query=123277at4751	WD40-repeat-containing domain
123494at4751	Complete	L0F63_002556-T1	279.1	294	https://www.orthodb.org/v10?query=123494at4751	Actin family
125400at4751	Missing
125935at4751	Complete	L0F63_003369-T1	447.6	395	https://www.orthodb.org/v10?query=125935at4751	tRNA-dihydrouridine(47) synthase 
126037at4751	Missing
126249at4751	Complete	L0F63_002228-T1	533.5	492	https://www.orthodb.org/v10?query=126249at4751	Multiple RNA-binding domain-containing protein 1
126256at4751	Missing
126519at4751	Complete	L0F63_003832-T1	552.6	426	https://www.orthodb.org/v10?query=126519at4751	Imidazole glycerol phosphate synthase hisHF
127140at4751	Complete	L0F63_007546-T1	338.3	384	https://www.orthodb.org/v10?query=127140at4751	Protein arginine N-methyltransferase
129160at4751	Complete	L0F63_005624-T1	664.8	441	https://www.orthodb.org/v10?query=129160at4751	T-complex protein 1 subunit zeta
129326at4751	Complete	L0F63_001429-T1	481.8	648	https://www.orthodb.org/v10?query=129326at4751	Putative nucleolar complex protein 14
129520at4751	Complete	L0F63_004895-T1	594.0	420	https://www.orthodb.org/v10?query=129520at4751	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
130062at4751	Complete	L0F63_001433-T1	233.0	540	https://www.orthodb.org/v10?query=130062at4751	Importin-beta domain-containing protein
130930at4751	Complete	L0F63_006840-T1	387.9	1662	https://www.orthodb.org/v10?query=130930at4751	Nucleoporin Nup186/Nup192/Nup205
130976at4751	Complete	L0F63_001893-T1	177.9	395	https://www.orthodb.org/v10?query=130976at4751	DNA polymerase alpha subunit B
133954at4751	Missing
135184at4751	Complete	L0F63_003679-T1	216.7	236	https://www.orthodb.org/v10?query=135184at4751	Nitrogen permease regulator 2
135652at4751	Complete	L0F63_000496-T1	491.7	361	https://www.orthodb.org/v10?query=135652at4751	Poly(A) polymerase
137963at4751	Complete	L0F63_002807-T1	665.2	427	https://www.orthodb.org/v10?query=137963at4751	Prolyl-tRNA synthetase
