HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH16_3.hmm	230	Entmai1|Entmai1_1068894	317	1.3e-57	2	230	51	316	0.991304347826087
GH16_19.hmm	174	Entmai1|Entmai1_1068978	245	2.2e-52	22	174	78	222	0.8735632183908046
GH16_19.hmm	174	Entmai1|Entmai1_1069073	236	9.1e-52	3	174	40	203	0.9827586206896551
AA7.hmm	458	Entmai1|Entmai1_1071740	437	3.7e-61	57	268	3	207	0.4606986899563319
GH18.hmm	296	Entmai1|Entmai1_1072571	533	2e-67	3	284	16	378	0.9493243243243243
AA1_3.hmm	312	Entmai1|Entmai1_1073803	480	6.4e-29	41	266	39	258	0.7211538461538461
GT8.hmm	257	Entmai1|Entmai1_1074647	708	3e-45	25	255	4	228	0.8949416342412452
GH5_9.hmm	303	Entmai1|Entmai1_1074968	359	3.7e-62	1	227	67	274	0.7458745874587459
CBM63.hmm	78	Entmai1|Entmai1_1075553	215	5e-18	5	75	130	199	0.8974358974358975
GT1.hmm	382	Entmai1|Entmai1_1077811	559	3.9e-27	82	352	124	450	0.7068062827225131
GH20.hmm	337	Entmai1|Entmai1_1077908	515	7.9e-85	3	336	154	465	0.9881305637982196
GH17.hmm	311	Entmai1|Entmai1_1078601	296	8.8e-33	2	307	21	288	0.9807073954983923
GH18.hmm	296	Entmai1|Entmai1_1079336	340	1.3e-22	48	199	77	258	0.5101351351351351
GH37.hmm	491	Entmai1|Entmai1_1083440	611	1.3e-147	3	490	42	594	0.9918533604887984
GT48.hmm	739	Entmai1|Entmai1_1084537	1820	4.7e-283	1	722	799	1567	0.9756427604871448
AA11.hmm	191	Entmai1|Entmai1_1084740	230	2.1e-39	9	167	34	178	0.8272251308900523
GH18.hmm	296	Entmai1|Entmai1_1085532	380	1.3e-17	23	284	28	357	0.8817567567567568
AA11.hmm	191	Entmai1|Entmai1_1085565	251	4.9e-41	11	166	36	176	0.8115183246073299
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_1085775	1782	4.5e-236	4	527	1108	1617	0.9924098671726755
GH47.hmm	446	Entmai1|Entmai1_1086280	454	4.9e-78	2	446	51	449	0.9955156950672646
GH16_4.hmm	316	Entmai1|Entmai1_1088031	294	8.5e-48	60	218	63	213	0.5
GH37.hmm	491	Entmai1|Entmai1_1089175	496	2.4e-57	4	230	36	255	0.46028513238289204
GH81.hmm	622	Entmai1|Entmai1_1089229	652	1.3e-175	14	622	28	645	0.977491961414791
GH132.hmm	303	Entmai1|Entmai1_1091715	648	6.2e-50	49	300	387	632	0.8283828382838284
AA11.hmm	191	Entmai1|Entmai1_1092784	397	2e-42	1	165	16	174	0.8586387434554974
CE16.hmm	267	Entmai1|Entmai1_1096278	289	4.8e-17	3	265	22	283	0.9812734082397003
CE4.hmm	130	Entmai1|Entmai1_1096920	340	2.7e-27	8	124	112	231	0.8923076923076924
GH16_19.hmm	174	Entmai1|Entmai1_1096977	340	1.2e-51	3	174	93	253	0.9827586206896551
GH72.hmm	312	Entmai1|Entmai1_1099455	462	3.2e-101	6	306	16	294	0.9615384615384616
GH132.hmm	303	Entmai1|Entmai1_1099892	284	8.1e-64	43	302	27	282	0.8547854785478548
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_1100776	1044	3.5e-199	16	527	519	964	0.969639468690702
GH72.hmm	312	Entmai1|Entmai1_1100787	409	3.7e-34	4	201	9	189	0.6314102564102564
AA3_2.hmm	568	Entmai1|Entmai1_1100870	588	7.8e-98	1	568	20	585	0.9982394366197183
AA11.hmm	191	Entmai1|Entmai1_1101116	309	1.3e-34	11	163	38	185	0.7958115183246073
GT1.hmm	382	Entmai1|Entmai1_1102418	550	2.5e-30	169	361	211	448	0.5026178010471204
CE4.hmm	130	Entmai1|Entmai1_1102530	344	3.8e-27	7	122	116	234	0.8846153846153846
AA3_2.hmm	568	Entmai1|Entmai1_1102535	582	5.9e-96	2	567	19	581	0.9947183098591549
GH16_4.hmm	316	Entmai1|Entmai1_138819	371	3.5e-112	1	316	38	364	0.9968354430379747
GH16_4.hmm	316	Entmai1|Entmai1_139098	365	2.8e-113	1	316	30	357	0.9968354430379747
GH16_4.hmm	316	Entmai1|Entmai1_139156	365	8e-113	1	316	30	357	0.9968354430379747
GT39.hmm	223	Entmai1|Entmai1_148074	210	4.6e-23	2	105	89	207	0.4618834080717489
GT1.hmm	382	Entmai1|Entmai1_148645	534	1.4e-28	168	353	194	422	0.48429319371727747
GT15.hmm	273	Entmai1|Entmai1_237302	407	1.8e-78	1	271	85	367	0.989010989010989
CE4.hmm	130	Entmai1|Entmai1_244101	340	6.3e-29	8	124	112	231	0.8923076923076924
AA6.hmm	195	Entmai1|Entmai1_283314	208	4.4e-81	1	194	6	200	0.9897435897435898
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_301674	1009	3.8e-248	20	526	389	886	0.9601518026565465
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_30420	1137	9.1e-265	19	527	490	988	0.9639468690702088
GT48.hmm	739	Entmai1|Entmai1_304211	1917	2.7e-291	2	721	855	1627	0.972936400541272
GT1.hmm	382	Entmai1|Entmai1_318707	406	1.9e-29	197	360	104	302	0.42670157068062825
GT66.hmm	693	Entmai1|Entmai1_36506	730	2.3e-185	9	600	13	655	0.8528138528138528
GH18.hmm	296	Entmai1|Entmai1_44802	467	1e-25	2	201	20	270	0.6722972972972973
AA11.hmm	191	Entmai1|Entmai1_487678	202	1.6e-41	1	163	11	167	0.8481675392670157
AA11.hmm	191	Entmai1|Entmai1_487929	198	4.5e-39	11	168	21	172	0.8219895287958116
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_491791	630	6.9e-25	188	525	241	564	0.6394686907020873
AA11.hmm	191	Entmai1|Entmai1_494538	199	5.5e-32	24	163	48	173	0.7277486910994765
AA6.hmm	195	Entmai1|Entmai1_503580	218	2.6e-65	1	185	21	217	0.9435897435897436
GT1.hmm	382	Entmai1|Entmai1_504053	495	1.2e-23	112	354	120	393	0.6335078534031413
AA11.hmm	191	Entmai1|Entmai1_505286	511	9.6e-38	1	162	260	416	0.8429319371727748
GH132.hmm	303	Entmai1|Entmai1_506010	307	2.3e-68	10	295	22	297	0.9405940594059405
GH16_19.hmm	174	Entmai1|Entmai1_506189	298	5.6e-47	6	173	109	269	0.9597701149425287
GH18.hmm	296	Entmai1|Entmai1_510768	518	2.8e-59	3	283	60	434	0.9459459459459459
AA11.hmm	191	Entmai1|Entmai1_511127	213	2.1e-36	14	177	39	187	0.8534031413612565
GT57.hmm	481	Entmai1|Entmai1_511292	357	1.5e-76	70	463	1	353	0.817047817047817
GH5_12.hmm	539	Entmai1|Entmai1_511411	651	1.5e-95	2	279	18	289	0.5139146567717996
GH5_12.hmm	539	Entmai1|Entmai1_511411	651	1.1e-53	323	539	294	504	0.4007421150278293
GH37.hmm	491	Entmai1|Entmai1_515267	618	2e-142	3	490	35	583	0.9918533604887984
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_515373	794	1.3e-227	18	495	328	794	0.905123339658444
AA7.hmm	458	Entmai1|Entmai1_516910	481	3.9e-90	5	458	53	478	0.9890829694323144
GT57.hmm	481	Entmai1|Entmai1_519567	534	8.8e-133	2	480	61	516	0.9937629937629938
CE1.hmm	227	Entmai1|Entmai1_519596	303	2.9e-34	3	224	33	296	0.973568281938326
GH31.hmm	427	Entmai1|Entmai1_520402	941	7e-161	2	427	344	787	0.9953161592505855
GT1.hmm	382	Entmai1|Entmai1_520977	509	6e-21	180	353	207	397	0.45287958115183247
AA3_2.hmm	568	Entmai1|Entmai1_521697	583	9.5e-79	17	567	2	578	0.9683098591549296
CE4.hmm	130	Entmai1|Entmai1_523028	312	1.8e-27	8	124	82	201	0.8923076923076924
GT39.hmm	223	Entmai1|Entmai1_524432	161	2.5e-43	2	139	6	158	0.6143497757847534
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_525774	1602	4.5e-56	18	255	1158	1379	0.4497153700189753
GH13_8.hmm	293	Entmai1|Entmai1_528327	723	9.7e-153	1	293	257	550	0.9965870307167235
AA11.hmm	191	Entmai1|Entmai1_532577	209	2.7e-31	24	163	55	184	0.7277486910994765
AA11.hmm	191	Entmai1|Entmai1_532923	201	3.9e-40	1	171	16	182	0.8900523560209425
GH24.hmm	137	Entmai1|Entmai1_538172	167	3.9e-32	3	137	21	157	0.9781021897810219
AA11.hmm	191	Entmai1|Entmai1_539634	250	3.9e-36	10	163	33	173	0.8010471204188482
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_540604	974	7.1e-247	22	526	382	877	0.9563567362428842
GH18.hmm	296	Entmai1|Entmai1_541254	396	3e-68	51	284	26	351	0.7871621621621622
GH18.hmm	296	Entmai1|Entmai1_541255	396	3e-68	51	284	26	351	0.7871621621621622
GH20.hmm	337	Entmai1|Entmai1_541914	791	4.2e-35	10	316	159	464	0.9080118694362018
CBM63.hmm	78	Entmai1|Entmai1_544088	210	5.6e-17	2	71	123	192	0.8846153846153846
GT35.hmm	674	Entmai1|Entmai1_545768	897	8.9e-271	3	674	159	874	0.9955489614243324
GH18.hmm	296	Entmai1|Entmai1_546918	422	4.3e-71	4	284	19	400	0.9459459459459459
GT1.hmm	382	Entmai1|Entmai1_547506	560	7.2e-26	46	350	86	445	0.7958115183246073
AA1.hmm	943	Entmai1|Entmai1_551166	538	4.4e-66	451	792	38	385	0.3616118769883351
GH37.hmm	491	Entmai1|Entmai1_551667	611	5.4e-148	3	490	45	594	0.9918533604887984
GT20.hmm	475	Entmai1|Entmai1_552148	475	1.4e-198	11	474	11	474	0.9747368421052631
AA11.hmm	191	Entmai1|Entmai1_553252	235	5.6e-37	5	172	20	185	0.8743455497382199
GH18.hmm	296	Entmai1|Entmai1_554570	309	5.4e-18	5	198	24	267	0.652027027027027
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_557392	1797	9.1e-233	3	527	1136	1644	0.9943074003795066
GT2_Chitin_synth_1.hmm	163	Entmai1|Entmai1_557733	834	6.1e-77	1	163	165	327	0.9938650306748467
GH24.hmm	137	Entmai1|Entmai1_558036	167	6.7e-30	1	137	19	157	0.9927007299270073
GH35.hmm	307	Entmai1|Entmai1_558087	1122	4.9e-65	1	303	63	439	0.9837133550488599
GH24.hmm	137	Entmai1|Entmai1_558284	171	1e-35	2	137	24	161	0.9854014598540146
GT48.hmm	739	Entmai1|Entmai1_559188	1913	2.3e-291	3	726	875	1640	0.9783491204330176
AA3_2.hmm	568	Entmai1|Entmai1_561763	583	1.9e-80	17	567	2	578	0.9683098591549296
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_562858	1658	4.7e-229	6	525	1010	1515	0.9848197343453511
AA11.hmm	191	Entmai1|Entmai1_574463	210	5.6e-30	24	162	55	183	0.7225130890052356
GH17.hmm	311	Entmai1|Entmai1_576743	335	2.3e-19	7	303	65	319	0.9517684887459807
GH18.hmm	296	Entmai1|Entmai1_577663	427	2.8e-74	4	284	19	400	0.9459459459459459
GH15.hmm	361	Entmai1|Entmai1_578019	655	4.7e-77	3	360	273	647	0.9889196675900277
GH18.hmm	296	Entmai1|Entmai1_579080	439	1.9e-23	6	201	2	246	0.6587837837837838
GT1.hmm	382	Entmai1|Entmai1_579818	525	1.6e-20	79	351	119	414	0.7120418848167539
GT1.hmm	382	Entmai1|Entmai1_579829	503	5.4e-22	187	362	213	411	0.4581151832460733
AA11.hmm	191	Entmai1|Entmai1_579977	325	3.7e-41	1	163	15	172	0.8481675392670157
GT1.hmm	382	Entmai1|Entmai1_580242	526	2.1e-21	76	353	117	417	0.725130890052356
AA11.hmm	191	Entmai1|Entmai1_580247	225	5.8e-36	11	172	34	181	0.8429319371727748
GH18.hmm	296	Entmai1|Entmai1_580808	553	2e-24	3	203	58	308	0.6756756756756757
GH16_19.hmm	174	Entmai1|Entmai1_585736	252	1.3e-49	23	174	78	227	0.867816091954023
GH47.hmm	446	Entmai1|Entmai1_587872	502	2.2e-140	1	446	69	500	0.9977578475336323
GH16_19.hmm	174	Entmai1|Entmai1_589019	225	1.1e-52	3	174	36	199	0.9827586206896551
GH16_19.hmm	174	Entmai1|Entmai1_590199	341	3.7e-50	8	174	112	268	0.9540229885057471
GH47.hmm	446	Entmai1|Entmai1_590222	579	2e-151	1	445	117	566	0.9955156950672646
GH18.hmm	296	Entmai1|Entmai1_594821	815	7e-69	3	283	31	411	0.9459459459459459
GH47.hmm	446	Entmai1|Entmai1_596353	674	1.1e-150	1	446	84	537	0.9977578475336323
GT2_Glycos_transf_2.hmm	170	Entmai1|Entmai1_596514	238	3e-33	1	169	6	176	0.9882352941176471
GH13_5.hmm	342	Entmai1|Entmai1_597164	489	1.6e-138	2	341	32	371	0.9912280701754386
GT2_Chitin_synth_2.hmm	527	Entmai1|Entmai1_598932	1101	8.4e-41	20	487	420	913	0.8861480075901328
GH13_25.hmm	434	Entmai1|Entmai1_601963	1490	1.1e-190	4	433	1042	1479	0.988479262672811
AA7.hmm	458	Entmai1|Entmai1_603006	482	2.8e-76	6	458	53	478	0.9868995633187773
GT59.hmm	404	Entmai1|Entmai1_605194	549	3.1e-95	2	403	112	500	0.9925742574257426
GT4.hmm	160	Entmai1|Entmai1_607769	446	1.3e-31	12	146	202	334	0.8375
GT1.hmm	382	Entmai1|Entmai1_609308	318	1.1e-21	194	337	150	308	0.3743455497382199
GT15.hmm	273	Entmai1|Entmai1_615253	409	6.2e-106	3	272	56	349	0.9853479853479854
AA11.hmm	191	Entmai1|Entmai1_617127	293	9.2e-46	11	163	53	192	0.7958115183246073
AA11.hmm	191	Entmai1|Entmai1_617133	293	9.2e-46	11	163	53	192	0.7958115183246073
AA11.hmm	191	Entmai1|Entmai1_617213	266	7.5e-43	12	163	22	157	0.7905759162303665
AA11.hmm	191	Entmai1|Entmai1_617218	295	3.1e-43	11	163	35	172	0.7958115183246073
AA11.hmm	191	Entmai1|Entmai1_617227	209	3.5e-46	2	176	17	185	0.9109947643979057
AA11.hmm	191	Entmai1|Entmai1_617233	209	3.6e-46	2	176	17	185	0.9109947643979057
GH47.hmm	446	Entmai1|Entmai1_618837	439	9.8e-128	2	446	8	436	0.9955156950672646
GT24.hmm	248	Entmai1|Entmai1_619340	1503	2.3e-130	1	248	1210	1457	0.9959677419354839
CBM63.hmm	78	Entmai1|Entmai1_624197	216	1.1e-16	2	64	132	194	0.7948717948717948
AA11.hmm	191	Entmai1|Entmai1_626150	250	3.6e-42	11	162	32	173	0.7905759162303665
GT22.hmm	389	Entmai1|Entmai1_628473	600	1.1e-61	3	354	34	443	0.9023136246786633
GH16_4.hmm	316	Entmai1|Entmai1_628480	416	2.1e-113	1	315	65	412	0.9936708860759493
GH18.hmm	296	Entmai1|Entmai1_628485	391	2.2e-77	4	284	4	380	0.9459459459459459
GH16_4.hmm	316	Entmai1|Entmai1_628782	208	1.6e-78	59	264	2	208	0.6487341772151899
GH16_4.hmm	316	Entmai1|Entmai1_629056	361	5.4e-116	1	316	26	353	0.9968354430379747
GH16_4.hmm	316	Entmai1|Entmai1_629074	361	5.4e-116	1	316	26	353	0.9968354430379747
GH16_4.hmm	316	Entmai1|Entmai1_629150	382	5.7e-115	1	316	50	380	0.9968354430379747
GT57.hmm	481	Entmai1|Entmai1_629548	498	5.7e-146	3	480	29	490	0.9916839916839917
GT8.hmm	257	Entmai1|Entmai1_630758	328	1.9e-35	28	254	12	296	0.8793774319066148
GH5_9.hmm	303	Entmai1|Entmai1_631032	499	7.7e-106	1	303	157	469	0.9966996699669967
