HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT1.hmm	382	N159|N159.mRNA.10080.1	550	1.8e-26	194	349	254	443	0.40575916230366493
AA2.hmm	255	N159|N159.mRNA.10146.1	274	7.4e-51	14	254	23	261	0.9411764705882353
GH16_4.hmm	316	N159|N159.mRNA.10168.1	388	1.1e-123	1	316	66	386	0.9968354430379747
GH16_4.hmm	316	N159|N159.mRNA.10169.1	389	5.3e-123	1	316	66	386	0.9968354430379747
GH16_4.hmm	316	N159|N159.mRNA.10170.1	388	3e-122	1	316	65	385	0.9968354430379747
GT1.hmm	382	N159|N159.mRNA.10184.1	550	5.4e-21	193	360	241	442	0.43717277486910994
GT1.hmm	382	N159|N159.mRNA.10185.1	537	3.4e-23	131	352	169	420	0.5785340314136126
GT1.hmm	382	N159|N159.mRNA.10186.1	546	5.3e-20	193	350	239	430	0.4109947643979058
GT4.hmm	160	N159|N159.mRNA.10202.1	482	2.8e-23	11	154	290	451	0.89375
GT33.hmm	425	N159|N159.mRNA.10230.1	439	1.2e-140	2	423	3	430	0.9905882352941177
GH18.hmm	296	N159|N159.mRNA.10249.1	477	1.3e-60	4	286	27	404	0.9527027027027027
AA11.hmm	191	N159|N159.mRNA.1027.1	231	2.7e-34	25	164	61	187	0.7277486910994765
GH16_19.hmm	174	N159|N159.mRNA.10296.1	402	1.2e-47	22	174	229	377	0.8735632183908046
GH16_19.hmm	174	N159|N159.mRNA.10297.1	307	1.1e-52	22	174	134	282	0.8735632183908046
GH16_19.hmm	174	N159|N159.mRNA.10298.1	328	3.2e-54	22	174	154	303	0.8735632183908046
GH35.hmm	307	N159|N159.mRNA.10306.1	1124	2.1e-79	1	303	71	447	0.9837133550488599
GH3.hmm	216	N159|N159.mRNA.10341.1	786	1.4e-60	2	209	119	344	0.9583333333333334
GT15.hmm	273	N159|N159.mRNA.10358.1	278	9.2e-115	2	272	1	269	0.989010989010989
AA6.hmm	195	N159|N159.mRNA.10388.1	400	8.2e-74	1	194	5	198	0.9897435897435898
AA6.hmm	195	N159|N159.mRNA.10454.1	210	3.3e-74	1	194	8	201	0.9897435897435898
AA6.hmm	195	N159|N159.mRNA.10456.1	210	6.3e-74	1	194	8	201	0.9897435897435898
AA6.hmm	195	N159|N159.mRNA.10457.1	210	2.5e-70	1	194	8	201	0.9897435897435898
AA6.hmm	195	N159|N159.mRNA.10458.1	210	7.8e-75	1	194	8	201	0.9897435897435898
AA6.hmm	195	N159|N159.mRNA.10459.1	250	2.6e-75	2	195	9	202	0.9897435897435898
GH13_5.hmm	342	N159|N159.mRNA.10674.1	502	6.2e-151	1	342	45	387	0.9970760233918129
GT76.hmm	407	N159|N159.mRNA.10683.1	357	3.8e-84	3	331	12	333	0.8058968058968059
GH72.hmm	312	N159|N159.mRNA.10684.1	500	5.2e-120	4	311	16	313	0.9839743589743589
AA11.hmm	191	N159|N159.mRNA.10810.1	310	1.5e-38	1	164	21	183	0.8534031413612565
GH18.hmm	296	N159|N159.mRNA.10843.1	400	7e-81	4	283	8	388	0.9425675675675675
GH18.hmm	296	N159|N159.mRNA.10847.1	211	3.8e-34	51	172	36	191	0.40878378378378377
CBM63.hmm	78	N159|N159.mRNA.10889.1	198	6.9e-17	2	73	113	182	0.9102564102564102
GT15.hmm	273	N159|N159.mRNA.10909.1	323	8.7e-111	3	272	2	269	0.9853479853479854
AA7.hmm	458	N159|N159.mRNA.10928.1	476	5.5e-84	4	222	55	275	0.4759825327510917
AA7.hmm	458	N159|N159.mRNA.10929.1	432	2.1e-51	7	316	68	381	0.6746724890829694
GH16_19.hmm	174	N159|N159.mRNA.10964.1	355	5.9e-64	3	174	96	263	0.9827586206896551
GT15.hmm	273	N159|N159.mRNA.11009.1	323	4.2e-115	2	272	1	269	0.989010989010989
GT15.hmm	273	N159|N159.mRNA.11010.1	169	1.5e-53	146	272	1	128	0.46153846153846156
GT58.hmm	364	N159|N159.mRNA.11031.1	443	1.6e-131	4	364	55	406	0.989010989010989
GH18.hmm	296	N159|N159.mRNA.11056.1	476	1e-72	3	284	39	420	0.9493243243243243
GT39.hmm	223	N159|N159.mRNA.11116.1	748	1.6e-65	11	223	81	309	0.9506726457399103
AA11.hmm	191	N159|N159.mRNA.11123.1	213	7.2e-31	16	162	47	186	0.7643979057591623
AA11.hmm	191	N159|N159.mRNA.11124.1	213	6.5e-30	16	162	47	186	0.7643979057591623
GT3.hmm	637	N159|N159.mRNA.11140.1	699	4.3e-295	1	624	22	638	0.978021978021978
GH18.hmm	296	N159|N159.mRNA.11143.1	621	5.3e-78	2	282	22	362	0.9459459459459459
GH18.hmm	296	N159|N159.mRNA.11144.1	546	9.7e-80	3	283	23	363	0.9459459459459459
GH20.hmm	337	N159|N159.mRNA.11210.1	570	4e-98	8	336	165	503	0.973293768545994
GT57.hmm	481	N159|N159.mRNA.11243.1	352	1.1e-98	146	480	1	336	0.6943866943866944
AA2.hmm	255	N159|N159.mRNA.11372.1	274	3.2e-51	14	254	23	261	0.9411764705882353
AA11.hmm	191	N159|N159.mRNA.11384.1	339	3.9e-41	1	163	20	181	0.8481675392670157
GH15.hmm	361	N159|N159.mRNA.11459.1	679	1.1e-88	2	360	290	666	0.9916897506925207
GT1.hmm	382	N159|N159.mRNA.11503.1	555	5.2e-22	113	348	161	440	0.6151832460732984
GT1.hmm	382	N159|N159.mRNA.11508.1	467	6.4e-30	197	350	168	355	0.4005235602094241
GT1.hmm	382	N159|N159.mRNA.11509.1	552	1.8e-27	182	350	239	441	0.4397905759162304
GT1.hmm	382	N159|N159.mRNA.11511.1	552	1.5e-27	106	350	139	440	0.6387434554973822
GT1.hmm	382	N159|N159.mRNA.11513.1	552	2.3e-28	185	353	242	444	0.4397905759162304
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.11634.1	1038	4.6e-233	5	526	349	851	0.9886148007590133
GH13_25.hmm	434	N159|N159.mRNA.1172.1	1549	1.2e-189	3	433	1068	1516	0.9907834101382489
GT8.hmm	257	N159|N159.mRNA.11734.1	666	9.3e-28	29	182	9	146	0.5953307392996109
AA11.hmm	191	N159|N159.mRNA.11741.1	213	1.3e-31	14	162	45	186	0.774869109947644
AA11.hmm	191	N159|N159.mRNA.11742.1	213	7.4e-32	14	162	45	186	0.774869109947644
AA11.hmm	191	N159|N159.mRNA.11744.1	213	1.9e-31	16	163	47	187	0.7696335078534031
GT39.hmm	223	N159|N159.mRNA.11752.1	770	5.5e-68	2	223	94	331	0.9910313901345291
GH16_4.hmm	316	N159|N159.mRNA.11799.1	411	6.2e-96	1	316	32	408	0.9968354430379747
GH25.hmm	177	N159|N159.mRNA.11928.1	222	3.3e-57	1	176	25	204	0.9887005649717514
GT1.hmm	382	N159|N159.mRNA.11956.1	566	2.8e-28	104	350	160	453	0.643979057591623
GH18.hmm	296	N159|N159.mRNA.12011.1	422	2.4e-78	2	285	24	409	0.956081081081081
GH18.hmm	296	N159|N159.mRNA.12013.1	525	1.1e-75	2	283	24	407	0.9493243243243243
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.1205.1	1171	2.9e-75	4	492	335	795	0.9259962049335864
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.12078.1	1432	1e-236	4	527	711	1218	0.9924098671726755
GH18.hmm	296	N159|N159.mRNA.12086.1	189	1.5e-30	158	283	2	178	0.4222972972972973
GH18.hmm	296	N159|N159.mRNA.12088.1	514	1.5e-76	2	284	24	408	0.9527027027027027
GT15.hmm	273	N159|N159.mRNA.12128.1	366	3.1e-116	1	272	57	326	0.9926739926739927
GT15.hmm	273	N159|N159.mRNA.12129.1	362	3e-103	2	270	52	318	0.9816849816849816
GT15.hmm	273	N159|N159.mRNA.12130.1	344	1e-35	157	254	200	298	0.3553113553113553
GT15.hmm	273	N159|N159.mRNA.12131.1	400	7e-120	1	272	90	359	0.9926739926739927
GT15.hmm	273	N159|N159.mRNA.12132.1	376	3.5e-120	1	272	65	335	0.9926739926739927
GT15.hmm	273	N159|N159.mRNA.12133.1	401	3.2e-120	1	272	89	360	0.9926739926739927
GT15.hmm	273	N159|N159.mRNA.12135.1	396	1.1e-114	1	272	74	344	0.9926739926739927
GT15.hmm	273	N159|N159.mRNA.12136.1	509	3.9e-98	1	272	171	441	0.9926739926739927
GT39.hmm	223	N159|N159.mRNA.12231.1	855	9.1e-66	2	223	88	326	0.9910313901345291
AA7.hmm	458	N159|N159.mRNA.12287.1	483	5.7e-87	6	458	46	480	0.9868995633187773
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.12359.1	1672	1e-227	20	525	967	1464	0.9582542694497154
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.12422.1	1889	1.9e-233	5	526	1201	1703	0.9886148007590133
AA6.hmm	195	N159|N159.mRNA.1250.1	148	1.1e-56	34	176	6	147	0.7282051282051282
AA6.hmm	195	N159|N159.mRNA.1251.1	247	2.7e-76	2	194	9	201	0.9846153846153847
AA6.hmm	195	N159|N159.mRNA.1252.1	181	7.6e-44	18	193	12	171	0.8974358974358975
AA6.hmm	195	N159|N159.mRNA.1254.1	210	3e-75	1	194	8	201	0.9897435897435898
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.12558.1	1109	6.3e-75	5	492	276	735	0.9240986717267552
GT14.hmm	250	N159|N159.mRNA.1256.1	428	1.3e-38	1	220	93	325	0.876
GT50.hmm	262	N159|N159.mRNA.126.1	442	2.9e-84	1	257	136	432	0.9770992366412213
GT2_Glycos_transf_2.hmm	170	N159|N159.mRNA.12675.1	327	5.8e-29	1	165	69	246	0.9647058823529412
GT15.hmm	273	N159|N159.mRNA.12703.1	382	1.6e-106	3	272	73	341	0.9853479853479854
GH16_19.hmm	174	N159|N159.mRNA.12807.1	315	6.6e-52	22	174	142	290	0.8735632183908046
GH16_19.hmm	174	N159|N159.mRNA.12808.1	195	1.7e-54	22	174	21	170	0.8735632183908046
GH37.hmm	491	N159|N159.mRNA.12954.1	886	1.9e-144	2	489	140	701	0.9918533604887984
GT20.hmm	475	N159|N159.mRNA.12981.1	686	6.4e-160	80	473	11	404	0.8273684210526315
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.13049.1	1870	1.3e-234	4	527	1165	1672	0.9924098671726755
GT15.hmm	273	N159|N159.mRNA.13132.1	329	7.1e-62	2	270	18	289	0.9816849816849816
GH16_2.hmm	326	N159|N159.mRNA.13154.1	505	2.2e-134	1	326	126	453	0.9969325153374233
GH18.hmm	296	N159|N159.mRNA.13162.1	519	8.4e-76	2	283	24	407	0.9493243243243243
GH18.hmm	296	N159|N159.mRNA.13163.1	418	4.9e-76	2	283	24	407	0.9493243243243243
AA6.hmm	195	N159|N159.mRNA.13201.1	208	2.3e-78	1	194	6	199	0.9897435897435898
GH20.hmm	337	N159|N159.mRNA.1327.1	565	7.4e-93	6	336	162	502	0.9792284866468842
GH5_9.hmm	303	N159|N159.mRNA.13276.1	433	1.4e-77	1	303	129	414	0.9966996699669967
GH5_9.hmm	303	N159|N159.mRNA.13278.1	462	4.3e-80	1	303	158	442	0.9966996699669967
GT71.hmm	264	N159|N159.mRNA.13279.1	579	3.4e-44	4	264	208	496	0.9848484848484849
GT71.hmm	264	N159|N159.mRNA.13280.1	579	2.7e-44	4	264	208	496	0.9848484848484849
AA7.hmm	458	N159|N159.mRNA.13281.1	381	6.1e-56	50	304	54	309	0.5545851528384279
AA7.hmm	458	N159|N159.mRNA.13282.1	491	1.6e-92	4	458	55	488	0.9912663755458515
AA7.hmm	458	N159|N159.mRNA.13283.1	491	1.1e-97	4	458	55	488	0.9912663755458515
GH18.hmm	296	N159|N159.mRNA.13301.1	863	1.8e-21	3	200	26	270	0.6655405405405406
GH25.hmm	177	N159|N159.mRNA.13336.1	184	4.6e-34	44	173	30	163	0.7288135593220338
GH25.hmm	177	N159|N159.mRNA.13337.1	222	4e-56	1	176	25	204	0.9887005649717514
GT8.hmm	257	N159|N159.mRNA.13338.1	308	6.9e-36	32	254	10	280	0.8638132295719845
GH5_12.hmm	539	N159|N159.mRNA.13356.1	1055	2.3e-140	1	538	318	846	0.9962894248608535
GH13_8.hmm	293	N159|N159.mRNA.13517.1	710	6e-152	1	293	257	550	0.9965870307167235
GH132.hmm	303	N159|N159.mRNA.13524.1	274	9.3e-65	60	294	35	263	0.7722772277227723
GH16_19.hmm	174	N159|N159.mRNA.13553.1	355	8.2e-64	3	174	96	263	0.9827586206896551
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.13567.1	989	2.3e-257	19	526	374	872	0.9620493358633776
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.13569.1	992	1.2e-259	19	526	374	872	0.9620493358633776
GT4.hmm	160	N159|N159.mRNA.1370.1	447	4.9e-33	8	151	211	382	0.89375
GT1.hmm	382	N159|N159.mRNA.13702.1	454	2.5e-19	190	352	143	337	0.42408376963350786
GT24.hmm	248	N159|N159.mRNA.13718.1	1518	8e-129	1	248	1222	1469	0.9959677419354839
GT15.hmm	273	N159|N159.mRNA.13760.1	351	1.3e-111	1	272	27	297	0.9926739926739927
GT15.hmm	273	N159|N159.mRNA.13802.1	379	1.2e-121	1	273	66	339	0.9963369963369964
GT1.hmm	382	N159|N159.mRNA.13905.1	553	1.4e-27	123	350	166	440	0.5942408376963351
CBM63.hmm	78	N159|N159.mRNA.1392.1	212	2.8e-24	2	75	126	198	0.9358974358974359
CBM63.hmm	78	N159|N159.mRNA.1394.1	152	2e-20	2	75	66	138	0.9358974358974359
CBM63.hmm	78	N159|N159.mRNA.1395.1	229	1.8e-16	2	72	129	198	0.8974358974358975
GT1.hmm	382	N159|N159.mRNA.14159.1	316	5.3e-26	203	345	104	279	0.3717277486910995
GT1.hmm	382	N159|N159.mRNA.14160.1	553	2e-20	209	346	267	437	0.3586387434554974
GH16_3.hmm	230	N159|N159.mRNA.14186.1	273	2.6e-61	1	230	28	272	0.9956521739130435
GH3.hmm	216	N159|N159.mRNA.14194.1	786	9.2e-61	2	209	119	344	0.9583333333333334
GH5_9.hmm	303	N159|N159.mRNA.14229.1	467	4.7e-82	1	303	163	447	0.9966996699669967
CE4.hmm	130	N159|N159.mRNA.14258.1	229	8.6e-35	8	125	38	158	0.9
AA6.hmm	195	N159|N159.mRNA.1426.1	208	4.1e-79	1	194	6	199	0.9897435897435898
GH72.hmm	312	N159|N159.mRNA.14290.1	496	1.2e-118	5	312	20	317	0.9839743589743589
GT1.hmm	382	N159|N159.mRNA.1431.1	558	1.4e-23	192	351	253	445	0.4162303664921466
GT15.hmm	273	N159|N159.mRNA.14413.1	358	3.8e-115	1	272	35	304	0.9926739926739927
GT8.hmm	257	N159|N159.mRNA.14471.1	301	2.1e-31	33	254	11	273	0.8599221789883269
CE4.hmm	130	N159|N159.mRNA.14539.1	239	3.9e-36	8	126	48	169	0.9076923076923077
GT71.hmm	264	N159|N159.mRNA.14588.1	604	5e-46	4	264	234	522	0.9848484848484849
GH5_9.hmm	303	N159|N159.mRNA.14644.1	405	7.3e-107	2	303	76	379	0.9933993399339934
GH47.hmm	446	N159|N159.mRNA.14645.1	732	8.6e-142	1	444	1	435	0.9932735426008968
GH37.hmm	491	N159|N159.mRNA.14691.1	886	1.5e-145	2	489	140	701	0.9918533604887984
CE16.hmm	267	N159|N159.mRNA.14759.1	291	4.9e-22	4	266	25	281	0.9812734082397003
CE16.hmm	267	N159|N159.mRNA.14760.1	293	3.1e-19	5	266	27	283	0.9775280898876404
CE16.hmm	267	N159|N159.mRNA.14761.1	293	2.7e-18	5	266	27	283	0.9775280898876404
GH5_9.hmm	303	N159|N159.mRNA.14796.1	370	9.6e-76	1	303	66	351	0.9966996699669967
GH18.hmm	296	N159|N159.mRNA.14849.1	487	3.7e-79	3	284	94	477	0.9493243243243243
GH5_12.hmm	539	N159|N159.mRNA.14959.1	1057	2.2e-142	1	538	320	848	0.9962894248608535
GH18.hmm	296	N159|N159.mRNA.14988.1	1001	1.2e-78	2	283	22	362	0.9493243243243243
GH18.hmm	296	N159|N159.mRNA.14989.1	525	3.5e-68	3	283	23	341	0.9459459459459459
AA3_2.hmm	568	N159|N159.mRNA.1507.1	758	7.8e-92	2	566	105	704	0.9929577464788732
GH16_2.hmm	326	N159|N159.mRNA.1509.1	500	1.1e-138	1	326	126	448	0.9969325153374233
GH31.hmm	427	N159|N159.mRNA.15203.1	858	1.3e-156	3	427	248	731	0.9929742388758782
GH16_19.hmm	174	N159|N159.mRNA.15261.1	131	1.6e-17	21	131	16	127	0.632183908045977
GH18.hmm	296	N159|N159.mRNA.15290.1	863	1.8e-21	3	200	26	270	0.6655405405405406
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.15394.1	1870	4.3e-230	5	526	1179	1681	0.9886148007590133
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.15396.1	1858	4.3e-232	5	526	1176	1678	0.9886148007590133
GH16_19.hmm	174	N159|N159.mRNA.15455.1	346	9.6e-58	3	174	104	270	0.9827586206896551
AA11.hmm	191	N159|N159.mRNA.15548.1	524	3.2e-36	7	163	33	175	0.8167539267015707
AA11.hmm	191	N159|N159.mRNA.15549.1	418	1.3e-38	6	163	36	179	0.8219895287958116
GT1.hmm	382	N159|N159.mRNA.1557.1	352	5.3e-26	191	346	94	280	0.40575916230366493
GH18.hmm	296	N159|N159.mRNA.15632.1	473	1.5e-78	3	283	23	363	0.9459459459459459
GH47.hmm	446	N159|N159.mRNA.15661.1	475	8.6e-137	1	446	50	473	0.9977578475336323
GH47.hmm	446	N159|N159.mRNA.15662.1	434	1.2e-142	1	446	5	433	0.9977578475336323
GH18.hmm	296	N159|N159.mRNA.15710.1	418	4.3e-76	2	283	24	407	0.9493243243243243
GH18.hmm	296	N159|N159.mRNA.15711.1	465	5.8e-76	2	283	24	407	0.9493243243243243
AA3_2.hmm	568	N159|N159.mRNA.1572.1	627	3.1e-100	2	567	29	625	0.9947183098591549
GH17.hmm	311	N159|N159.mRNA.15726.1	304	5.8e-23	14	306	45	294	0.9389067524115756
AA3_2.hmm	568	N159|N159.mRNA.1573.1	628	8.1e-104	2	567	30	627	0.9947183098591549
GH5_9.hmm	303	N159|N159.mRNA.15746.1	519	3.1e-92	1	302	170	487	0.9933993399339934
GH5_9.hmm	303	N159|N159.mRNA.15747.1	516	1.1e-92	1	302	164	482	0.9933993399339934
GH72.hmm	312	N159|N159.mRNA.15753.1	538	5e-122	5	312	20	317	0.9839743589743589
GH72.hmm	312	N159|N159.mRNA.15754.1	500	2.5e-120	5	312	20	317	0.9839743589743589
GT39.hmm	223	N159|N159.mRNA.15769.1	728	5.9e-70	2	223	45	285	0.9910313901345291
GT57.hmm	481	N159|N159.mRNA.1577.1	499	4.9e-145	2	480	42	481	0.9937629937629938
AA7.hmm	458	N159|N159.mRNA.15796.1	734	1.6e-79	6	225	24	249	0.4781659388646288
GT33.hmm	425	N159|N159.mRNA.15845.1	441	8.5e-140	2	424	3	431	0.9929411764705882
GT4.hmm	160	N159|N159.mRNA.15855.1	411	1.3e-21	8	138	188	305	0.8125
AA11.hmm	191	N159|N159.mRNA.15897.1	412	1.9e-38	6	163	36	179	0.8219895287958116
AA11.hmm	191	N159|N159.mRNA.15900.1	524	3.3e-36	7	163	33	175	0.8167539267015707
GH16_4.hmm	316	N159|N159.mRNA.15915.1	449	3.8e-99	1	316	87	446	0.9968354430379747
GT50.hmm	262	N159|N159.mRNA.1596.1	441	1.3e-83	1	257	136	431	0.9770992366412213
CBM21.hmm	107	N159|N159.mRNA.15979.1	381	2.9e-27	3	106	115	227	0.9626168224299065
GT57.hmm	481	N159|N159.mRNA.16029.1	401	1.8e-111	98	480	6	385	0.7941787941787942
AA11.hmm	191	N159|N159.mRNA.1604.1	206	9.5e-42	11	163	22	160	0.7958115183246073
GT15.hmm	273	N159|N159.mRNA.16046.1	382	6.6e-106	3	272	73	341	0.9853479853479854
AA6.hmm	195	N159|N159.mRNA.1611.1	87	1.9e-26	115	194	1	78	0.40512820512820513
CE9.hmm	373	N159|N159.mRNA.16125.1	409	3.7e-121	1	373	20	404	0.9973190348525469
GH81.hmm	622	N159|N159.mRNA.16126.1	703	4e-179	14	622	73	699	0.977491961414791
GH18.hmm	296	N159|N159.mRNA.16131.1	463	2.2e-25	2	198	20	270	0.6621621621621622
GH72.hmm	312	N159|N159.mRNA.16149.1	513	1.6e-48	6	305	26	319	0.9583333333333334
AA6.hmm	195	N159|N159.mRNA.1616.1	87	1.9e-26	115	194	1	78	0.40512820512820513
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.16197.1	2049	3.7e-220	5	510	1208	1695	0.9582542694497154
GT69.hmm	239	N159|N159.mRNA.16222.1	338	5.8e-64	1	238	12	264	0.9916317991631799
GH47.hmm	446	N159|N159.mRNA.16242.1	498	9.1e-150	1	445	30	493	0.9955156950672646
GH16_3.hmm	230	N159|N159.mRNA.16258.1	459	9.1e-67	3	230	139	409	0.9869565217391304
GH18.hmm	296	N159|N159.mRNA.16401.1	836	1.3e-24	3	273	52	328	0.9121621621621622
GT50.hmm	262	N159|N159.mRNA.1641.1	441	1.3e-83	1	257	136	431	0.9770992366412213
GH15.hmm	361	N159|N159.mRNA.16446.1	679	1.7e-87	2	360	290	666	0.9916897506925207
GH16_19.hmm	174	N159|N159.mRNA.16507.1	387	1.9e-53	4	174	104	266	0.9770114942528736
AA6.hmm	195	N159|N159.mRNA.1654.1	404	3.4e-74	1	194	5	198	0.9897435897435898
GH63.hmm	570	N159|N159.mRNA.1682.1	883	6.1e-24	319	567	650	880	0.43508771929824563
GT71.hmm	264	N159|N159.mRNA.1706.1	585	1.8e-44	4	264	220	501	0.9848484848484849
GH20.hmm	337	N159|N159.mRNA.1711.1	565	7.9e-93	6	336	162	502	0.9792284866468842
GT2_Chitin_synth_2.hmm	527	N159|N159.mRNA.1734.1	1190	1.8e-287	12	527	615	1129	0.9772296015180265
GH16_19.hmm	174	N159|N159.mRNA.1753.1	234	2.7e-43	22	174	68	212	0.8735632183908046
GH63.hmm	570	N159|N159.mRNA.1778.1	882	3.4e-23	318	567	648	879	0.4368421052631579
GH47.hmm	446	N159|N159.mRNA.1807.1	455	2.2e-141	2	446	23	451	0.9955156950672646
GH18.hmm	296	N159|N159.mRNA.1850.1	460	1.8e-24	2	202	20	274	0.6756756756756757
GH47.hmm	446	N159|N159.mRNA.1863.1	475	1.5e-143	1	446	45	473	0.9977578475336323
GH47.hmm	446	N159|N159.mRNA.1864.1	487	3.8e-142	1	446	58	486	0.9977578475336323
GH47.hmm	446	N159|N159.mRNA.1866.1	484	4.4e-137	1	446	54	482	0.9977578475336323
AA11.hmm	191	N159|N159.mRNA.1884.1	336	3.1e-41	12	163	43	182	0.7905759162303665
GH16_4.hmm	316	N159|N159.mRNA.1889.1	388	8.4e-124	1	316	66	386	0.9968354430379747
GT39.hmm	223	N159|N159.mRNA.1895.1	752	5.1e-71	2	223	57	298	0.9910313901345291
GH18.hmm	296	N159|N159.mRNA.1926.1	437	2.2e-20	3	197	26	272	0.6554054054054054
GH18.hmm	296	N159|N159.mRNA.1927.1	428	8.2e-26	3	211	15	279	0.7027027027027027
GT20.hmm	475	N159|N159.mRNA.1976.1	481	4.5e-197	5	474	4	476	0.9873684210526316
GH15.hmm	361	N159|N159.mRNA.202.1	1442	3.8e-16	4	257	22	294	0.7008310249307479
AA11.hmm	191	N159|N159.mRNA.2064.1	258	1.3e-22	81	163	12	90	0.4293193717277487
AA11.hmm	191	N159|N159.mRNA.2065.1	336	3.3e-41	12	163	43	182	0.7905759162303665
GH16_3.hmm	230	N159|N159.mRNA.21.1	569	4.4e-66	3	228	181	449	0.9782608695652174
GT39.hmm	223	N159|N159.mRNA.2131.1	844	4.5e-67	2	223	87	325	0.9910313901345291
GH16_4.hmm	316	N159|N159.mRNA.2213.1	395	2.3e-73	2	231	34	276	0.7246835443037974
GT57.hmm	481	N159|N159.mRNA.2298.1	234	1.2e-61	66	258	2	186	0.3991683991683992
AA3_2.hmm	568	N159|N159.mRNA.2302.1	620	9.1e-76	189	567	244	619	0.6654929577464789
AA3_2.hmm	568	N159|N159.mRNA.2303.1	627	1.4e-99	2	567	29	625	0.9947183098591549
GH132.hmm	303	N159|N159.mRNA.2384.1	445	1.4e-63	32	303	140	445	0.8943894389438944
GH47.hmm	446	N159|N159.mRNA.2485.1	437	7.7e-142	1	446	9	434	0.9977578475336323
CBM63.hmm	78	N159|N159.mRNA.2499.1	244	3.6e-19	3	73	141	210	0.8974358974358975
GH5_12.hmm	539	N159|N159.mRNA.2525.1	716	1.8e-181	6	539	28	559	0.9888682745825603
GH5_12.hmm	539	N159|N159.mRNA.2527.1	725	6.7e-182	3	539	25	559	0.9944341372912802
GH5_12.hmm	539	N159|N159.mRNA.2528.1	430	1.7e-71	272	539	1	264	0.49536178107606677
GH5_12.hmm	539	N159|N159.mRNA.2529.1	725	2.2e-180	3	539	25	559	0.9944341372912802
AA7.hmm	458	N159|N159.mRNA.2542.1	459	3.1e-18	5	236	14	256	0.5043668122270742
GT4.hmm	160	N159|N159.mRNA.2597.1	415	2.1e-31	6	126	196	316	0.75
CE1.hmm	227	N159|N159.mRNA.2648.1	281	8.5e-55	1	224	21	277	0.9823788546255506
CBM63.hmm	78	N159|N159.mRNA.2789.1	213	7.6e-17	2	73	128	197	0.9102564102564102
CE9.hmm	373	N159|N159.mRNA.28.1	409	4.9e-121	1	373	20	404	0.9973190348525469
GT8.hmm	257	N159|N159.mRNA.282.1	222	8.8e-45	28	248	8	222	0.8560311284046692
AA7.hmm	458	N159|N159.mRNA.2850.1	483	1.1e-81	6	210	46	255	0.44541484716157204
GT24.hmm	248	N159|N159.mRNA.2860.1	1515	1.4e-128	1	248	1219	1466	0.9959677419354839
GH132.hmm	303	N159|N159.mRNA.2877.1	309	2.4e-67	49	302	56	306	0.834983498349835
CE4.hmm	130	N159|N159.mRNA.2961.1	229	6.1e-35	8	125	38	158	0.9
GT3.hmm	637	N159|N159.mRNA.2964.1	699	1.8e-295	1	624	22	638	0.978021978021978
GH72.hmm	312	N159|N159.mRNA.2989.1	502	4.4e-52	6	306	15	309	0.9615384615384616
GT15.hmm	273	N159|N159.mRNA.2992.1	379	3.1e-122	1	273	66	339	0.9963369963369964
GH81.hmm	622	N159|N159.mRNA.31.1	703	1.6e-179	14	622	73	699	0.977491961414791
AA11.hmm	191	N159|N159.mRNA.3109.1	206	5e-42	11	163	22	160	0.7958115183246073
AA11.hmm	191	N159|N159.mRNA.3137.1	206	7.1e-37	13	163	41	180	0.7853403141361257
