HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH16_19.hmm	174	EC989|EC989_000037-T1	939	1.3e-46	3	174	53	216	0.9827586206896551
GH17.hmm	311	EC989|EC989_000047-T1	339	4.2e-30	2	306	63	330	0.977491961414791
GT1.hmm	382	EC989|EC989_000062-T1	530	9.2e-17	197	342	254	409	0.3795811518324607
GH3.hmm	216	EC989|EC989_000107-T1	780	6.7e-56	4	215	127	356	0.9768518518518519
GT48.hmm	739	EC989|EC989_000155-T1	1973	9.1e-293	1	725	887	1667	0.979702300405954
GT22.hmm	389	EC989|EC989_000202-T1	271	1.7e-34	223	388	2	150	0.4241645244215938
AA3_2.hmm	568	EC989|EC989_000283-T1	454	2.1e-43	186	471	153	437	0.5017605633802817
GT2_Chitin_synth_2.hmm	527	EC989|EC989_000309-T1	850	8.4e-26	202	524	295	604	0.6110056925996205
GH37.hmm	491	EC989|EC989_000334-T1	639	1.1e-142	1	490	61	622	0.9959266802443992
GH72.hmm	312	EC989|EC989_000417-T1	461	4.3e-24	6	172	24	173	0.532051282051282
GH31.hmm	427	EC989|EC989_000492-T1	852	2e-146	3	427	248	730	0.9929742388758782
GH31.hmm	427	EC989|EC989_000494-T1	867	3e-147	3	427	251	733	0.9929742388758782
GT2_Chitin_synth_1.hmm	163	EC989|EC989_000534-T1	821	7e-79	1	163	149	311	0.9938650306748467
GT57.hmm	481	EC989|EC989_000560-T1	589	4.1e-55	178	479	1	266	0.6257796257796258
GH18.hmm	296	EC989|EC989_000582-T1	660	1.4e-72	5	282	29	363	0.9358108108108109
GH18.hmm	296	EC989|EC989_000583-T1	501	1.4e-74	4	282	21	361	0.9391891891891891
GT2_Chitin_synth_2.hmm	527	EC989|EC989_000604-T1	1279	7.6e-250	14	526	379	881	0.9715370018975332
GH132.hmm	303	EC989|EC989_000633-T1	402	4.3e-68	51	301	153	398	0.8250825082508251
GH132.hmm	303	EC989|EC989_000634-T1	403	1.2e-43	51	299	154	397	0.8184818481848185
GH31.hmm	427	EC989|EC989_000689-T1	897	3.2e-150	3	427	259	753	0.9929742388758782
GT2_Chitin_synth_2.hmm	527	EC989|EC989_000704-T1	1278	8.1e-267	19	527	575	1093	0.9639468690702088
GT2_Chitin_synth_2.hmm	527	EC989|EC989_000736-T1	1200	6.4e-81	23	491	360	800	0.888045540796964
GT2_Chitin_synth_2.hmm	527	EC989|EC989_000937-T1	995	1.2e-250	18	526	382	880	0.9639468690702088
GH24.hmm	137	EC989|EC989_000975-T1	169	4.4e-39	1	137	23	159	0.9927007299270073
AA3_2.hmm	568	EC989|EC989_001014-T1	591	3e-104	2	567	21	587	0.9947183098591549
GH18.hmm	296	EC989|EC989_001156-T1	431	5.3e-61	18	282	33	357	0.8918918918918919
AA7.hmm	458	EC989|EC989_001282-T1	493	1.2e-95	5	458	54	491	0.9890829694323144
GH13_5.hmm	342	EC989|EC989_001337-T1	482	2.8e-151	2	342	31	370	0.9941520467836257
GH18.hmm	296	EC989|EC989_001409-T1	515	5.7e-75	2	284	21	404	0.9527027027027027
CE4.hmm	130	EC989|EC989_001413-T1	348	8.7e-29	6	125	79	201	0.9153846153846154
GH3.hmm	216	EC989|EC989_001436-T1	761	7.9e-57	3	208	104	328	0.9490740740740741
GT41.hmm	705	EC989|EC989_001480-T1	1628	6.3e-51	307	569	1186	1540	0.37163120567375885
AA6.hmm	195	EC989|EC989_001563-T1	271	1.2e-75	1	193	8	200	0.9846153846153847
GT20.hmm	475	EC989|EC989_001580-T1	466	4e-186	11	474	5	464	0.9747368421052631
GH132.hmm	303	EC989|EC989_001584-T1	307	1.4e-60	32	294	48	297	0.8646864686468647
GT2_Glyco_trans_2_3.hmm	197	EC989|EC989_001587-T1	807	5.4e-21	3	196	317	541	0.9796954314720813
GH20.hmm	337	EC989|EC989_001608-T1	648	5.4e-100	7	336	261	598	0.9762611275964391
GH18.hmm	296	EC989|EC989_001648-T1	314	5.6e-19	3	204	18	241	0.6790540540540541
GH5_9.hmm	303	EC989|EC989_001654-T1	419	1.5e-104	1	303	83	388	0.9966996699669967
GH16_4.hmm	316	EC989|EC989_001661-T1	379	1.2e-123	1	316	56	376	0.9968354430379747
GH72.hmm	312	EC989|EC989_001724-T1	497	8.5e-114	5	311	18	319	0.9807692307692307
GH37.hmm	491	EC989|EC989_001729-T1	639	4.7e-145	1	490	61	622	0.9959266802443992
GH16_19.hmm	174	EC989|EC989_001740-T1	394	1.2e-51	4	172	115	277	0.9655172413793104
GH16_19.hmm	174	EC989|EC989_001742-T1	288	2.4e-48	6	172	27	185	0.9540229885057471
CE16.hmm	267	EC989|EC989_001860-T1	393	4.8e-19	2	264	70	342	0.9812734082397003
GT2_Chitin_synth_2.hmm	527	EC989|EC989_001884-T1	805	2.9e-21	204	494	315	591	0.5502846299810247
GH18.hmm	296	EC989|EC989_001891-T1	292	2.1e-44	114	286	41	248	0.581081081081081
GH18.hmm	296	EC989|EC989_001910-T1	432	1.8e-61	19	286	34	360	0.902027027027027
GH18.hmm	296	EC989|EC989_001956-T1	486	4.6e-75	3	285	25	366	0.9527027027027027
GH47.hmm	446	EC989|EC989_001997-T1	459	2.6e-115	48	445	1	377	0.8901345291479821
GH18.hmm	296	EC989|EC989_002022-T1	534	5.2e-76	5	284	70	406	0.9425675675675675
GT2_Chitin_synth_2.hmm	527	EC989|EC989_002033-T1	1821	5.9e-230	5	526	1186	1688	0.9886148007590133
AA11.hmm	191	EC989|EC989_002065-T1	209	1.1e-33	13	162	44	182	0.7801047120418848
GT2_Chitin_synth_2.hmm	527	EC989|EC989_002095-T1	1286	2.1e-265	19	527	583	1101	0.9639468690702088
AA7.hmm	458	EC989|EC989_002108-T1	487	9e-80	5	231	51	281	0.49344978165938863
GH35.hmm	307	EC989|EC989_002135-T1	975	6.2e-20	1	181	55	241	0.5863192182410424
GT15.hmm	273	EC989|EC989_002140-T1	398	3e-85	1	269	81	353	0.9816849816849816
GH15.hmm	361	EC989|EC989_002156-T1	671	6.2e-82	3	360	288	663	0.9889196675900277
AA11.hmm	191	EC989|EC989_002216-T1	209	2e-32	12	163	41	182	0.7905759162303665
AA11.hmm	191	EC989|EC989_002238-T1	210	5.5e-30	25	162	56	183	0.7172774869109948
AA11.hmm	191	EC989|EC989_002239-T1	248	1e-29	25	162	94	221	0.7172774869109948
AA11.hmm	191	EC989|EC989_002240-T1	210	2.9e-30	25	161	56	182	0.7120418848167539
CBM21.hmm	107	EC989|EC989_002299-T1	395	3.9e-30	3	106	119	230	0.9626168224299065
CBM21.hmm	107	EC989|EC989_002300-T1	297	3.8e-27	3	107	102	213	0.9719626168224299
GH81.hmm	622	EC989|EC989_002354-T1	703	1.6e-175	7	622	74	698	0.9887459807073955
GT1.hmm	382	EC989|EC989_002391-T1	565	2.6e-27	126	351	171	446	0.5890052356020943
