# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Duplicated	DSO57v2_010798-T1	1521.2	1109
39650at2759	Duplicated	DSO57v2_028541-T1	1480.8	1016
83779at2759	Duplicated	DSO57v2_017242-T1	218.5	225
83779at2759	Duplicated	DSO57v2_034493-T1	217.1	224
87842at2759	Duplicated	DSO57v2_018222-T1	520.9	649
87842at2759	Duplicated	DSO57v2_019294-T2	519.8	649
87842at2759	Duplicated	DSO57v2_018222-T2	471.8	557
87842at2759	Duplicated	DSO57v2_019294-T1	470.7	557
87842at2759	Duplicated	DSO57v2_018222-T3	446.7	558
87842at2759	Duplicated	DSO57v2_019294-T3	445.6	558
97116at2759	Duplicated	DSO57v2_030985-T1	1009.0	954
97116at2759	Duplicated	DSO57v2_001519-T1	868.6	848
100698at2759	Duplicated	DSO57v2_004833-T1	788.5	511
100698at2759	Duplicated	DSO57v2_015423-T1	787.8	507
142542at2759	Fragmented	DSO57v2_037224-T1	350.9	473
156083at2759	Duplicated	DSO57v2_004954-T1	3615.1	1957
156083at2759	Duplicated	DSO57v2_027363-T1	3611.6	1957
160593at2759	Complete	DSO57v2_005979-T1	1211.9	1071
166920at2759	Complete	DSO57v2_014392-T1	610.1	729
176625at2759	Duplicated	DSO57v2_018280-T1	229.7	376
176625at2759	Duplicated	DSO57v2_029271-T1	229.1	376
179362at2759	Duplicated	DSO57v2_014126-T1	593.8	879
179362at2759	Duplicated	DSO57v2_018873-T1	593.7	961
245208at2759	Duplicated	DSO57v2_000366-T1	1481.7	837
245208at2759	Duplicated	DSO57v2_008693-T1	1481.2	836
257318at2759	Complete	DSO57v2_005311-T1	295.2	295
261328at2759	Complete	DSO57v2_038506-T1	315.0	374
261419at2759	Duplicated	DSO57v2_015907-T1	182.9	318
261419at2759	Duplicated	DSO57v2_028672-T1	182.2	319
270107at2759	Duplicated	DSO57v2_010179-T1	517.6	626
270107at2759	Duplicated	DSO57v2_020875-T2	492.5	595
270107at2759	Duplicated	DSO57v2_020875-T1	463.9	579
271586at2759	Complete	DSO57v2_027393-T2	114.9	224
290630at2759	Duplicated	DSO57v2_032904-T1	698.4	609
290630at2759	Duplicated	DSO57v2_003479-T1	696.9	609
290630at2759	Duplicated	DSO57v2_003479-T2	696.4	579
293315at2759	Fragmented	DSO57v2_020311-T2	556.2	542
296129at2759	Duplicated	DSO57v2_036906-T1	1063.6	702
296129at2759	Duplicated	DSO57v2_022907-T1	1063.5	702
296129at2759	Duplicated	DSO57v2_036906-T2	995.9	618
299766at2759	Fragmented	DSO57v2_017775-T1	158.1	278
306227at2759	Complete	DSO57v2_011408-T1	500.0	480
320059at2759	Duplicated	DSO57v2_004885-T1	869.4	451
320059at2759	Duplicated	DSO57v2_037169-T1	818.8	419
324863at2759	Duplicated	DSO57v2_021587-T1	564.6	534
324863at2759	Duplicated	DSO57v2_037135-T1	564.4	533
324863at2759	Duplicated	DSO57v2_037135-T5	552.3	517
325552at2759	Duplicated	DSO57v2_030463-T1	394.5	437
325552at2759	Duplicated	DSO57v2_037379-T1	393.9	439
325552at2759	Duplicated	DSO57v2_030463-T2	360.1	341
325552at2759	Duplicated	DSO57v2_037379-T2	360.0	340
330169at2759	Duplicated	DSO57v2_021302-T1	229.7	324
330169at2759	Duplicated	DSO57v2_020611-T1	228.4	324
331411at2759	Duplicated	DSO57v2_035243-T1	267.7	376
331411at2759	Duplicated	DSO57v2_027843-T1	265.6	375
331411at2759	Duplicated	DSO57v2_027843-T2	265.3	375
341721at2759	Duplicated	DSO57v2_015372-T1	232.8	394
341721at2759	Duplicated	DSO57v2_012939-T1	229.8	389
345441at2759	Duplicated	DSO57v2_006189-T1	465.5	381
345441at2759	Duplicated	DSO57v2_022554-T1	464.8	381
355408at2759	Duplicated	DSO57v2_001169-T1	720.7	547
355408at2759	Duplicated	DSO57v2_007013-T1	720.7	547
369837at2759	Complete	DSO57v2_002730-T1	289.3	367
375960at2759	Duplicated	DSO57v2_014231-T1	171.2	256
375960at2759	Duplicated	DSO57v2_034341-T1	170.1	253
383503at2759	Duplicated	DSO57v2_020991-T1	343.6	340
383503at2759	Duplicated	DSO57v2_031048-T1	343.0	339
383503at2759	Duplicated	DSO57v2_020991-T2	299.2	306
383503at2759	Duplicated	DSO57v2_031048-T2	297.9	306
388820at2759	Duplicated	DSO57v2_021241-T2	542.1	635
388820at2759	Duplicated	DSO57v2_021241-T1	486.9	501
388820at2759	Duplicated	DSO57v2_029505-T1	486.3	501
390348at2759	Duplicated	DSO57v2_016796-T1	1176.9	752
390348at2759	Duplicated	DSO57v2_026478-T1	1175.2	764
392369at2759	Duplicated	DSO57v2_006681-T1	406.1	342
392369at2759	Duplicated	DSO57v2_010689-T1	405.8	342
396755at2759	Missing
418107at2759	Duplicated	DSO57v2_018915-T2	442.6	354
418107at2759	Duplicated	DSO57v2_033908-T1	442.6	354
418107at2759	Duplicated	DSO57v2_018915-T1	389.2	336
426305at2759	Duplicated	DSO57v2_005698-T1	436.4	525
426305at2759	Duplicated	DSO57v2_023051-T1	434.4	493
450058at2759	Duplicated	DSO57v2_005301-T1	151.2	239
450058at2759	Duplicated	DSO57v2_017957-T1	134.4	180
453044at2759	Missing
457861at2759	Duplicated	DSO57v2_014037-T4	39.5	108
457861at2759	Duplicated	DSO57v2_016284-T1	38.5	139
457861at2759	Duplicated	DSO57v2_014037-T2	38.3	140
457861at2759	Duplicated	DSO57v2_014037-T1	38.0	138
457861at2759	Duplicated	DSO57v2_014037-T3	38.0	139
464990at2759	Duplicated	DSO57v2_002689-T1	353.5	377
464990at2759	Duplicated	DSO57v2_022702-T1	352.1	377
491869at2759	Duplicated	DSO57v2_007779-T1	209.1	282
491869at2759	Duplicated	DSO57v2_035872-T1	206.3	272
491869at2759	Duplicated	DSO57v2_035872-T3	204.3	245
513979at2759	Duplicated	DSO57v2_002951-T2	123.7	218
513979at2759	Duplicated	DSO57v2_002951-T1	121.3	218
513979at2759	Duplicated	DSO57v2_028307-T1	120.4	218
543764at2759	Complete	DSO57v2_012758-T1	202.1	245
549762at2759	Complete	DSO57v2_024710-T1	187.1	264
551907at2759	Duplicated	DSO57v2_018940-T1	251.4	378
551907at2759	Duplicated	DSO57v2_024247-T1	250.4	378
551907at2759	Duplicated	DSO57v2_038284-T1	248.1	378
570797at2759	Complete	DSO57v2_023345-T1	100.3	362
582756at2759	Duplicated	DSO57v2_010339-T1	238.0	339
582756at2759	Duplicated	DSO57v2_004635-T2	238.0	340
582756at2759	Duplicated	DSO57v2_004635-T1	237.6	340
598949at2759	Duplicated	DSO57v2_004206-T1	287.7	374
598949at2759	Duplicated	DSO57v2_006536-T1	285.9	373
604979at2759	Duplicated	DSO57v2_005145-T1	423.2	284
604979at2759	Duplicated	DSO57v2_009235-T1	423.0	284
621827at2759	Complete	DSO57v2_033977-T1	314.9	335
625387at2759	Duplicated	DSO57v2_003145-T1	271.3	325
625387at2759	Duplicated	DSO57v2_034096-T1	270.9	327
625387at2759	Duplicated	DSO57v2_003145-T2	257.9	289
625387at2759	Duplicated	DSO57v2_034096-T2	257.2	291
655400at2759	Duplicated	DSO57v2_037791-T1	222.6	244
655400at2759	Duplicated	DSO57v2_037791-T2	222.1	261
664730at2759	Duplicated	DSO57v2_010394-T1	646.3	351
664730at2759	Duplicated	DSO57v2_021208-T1	645.7	351
671536at2759	Fragmented	DSO57v2_001695-T1	384.9	238
671846at2759	Fragmented	DSO57v2_020127-T1	147.6	241
673132at2759	Duplicated	DSO57v2_027682-T1	311.5	276
673132at2759	Duplicated	DSO57v2_020448-T1	311.4	276
674160at2759	Complete	DSO57v2_000070-T1	576.1	916
674169at2759	Duplicated	DSO57v2_038685-T2	113.0	187
674169at2759	Duplicated	DSO57v2_038685-T1	113.0	187
674169at2759	Duplicated	DSO57v2_015885-T2	111.3	187
674169at2759	Duplicated	DSO57v2_015885-T1	111.3	187
679187at2759	Duplicated	DSO57v2_036317-T3	285.5	424
679187at2759	Duplicated	DSO57v2_038876-T4	285.1	424
679187at2759	Duplicated	DSO57v2_036317-T1	284.6	427
679187at2759	Duplicated	DSO57v2_026699-T2	284.3	419
679187at2759	Duplicated	DSO57v2_038876-T1	284.2	427
679187at2759	Duplicated	DSO57v2_038876-T5	276.4	412
679187at2759	Duplicated	DSO57v2_036317-T2	276.3	433
