# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	L0F63_006922-T1	1851.5	1378
83779at2759	Complete	L0F63_002325-T1	199.1	202
87842at2759	Complete	L0F63_004011-T1	463.1	566
97116at2759	Complete	L0F63_004138-T1	1006.2	953
100698at2759	Complete	L0F63_001736-T1	747.0	485
142542at2759	Complete	L0F63_006594-T1	446.1	612
156083at2759	Complete	L0F63_007390-T1	3555.0	1883
160593at2759	Complete	L0F63_002363-T1	1145.8	1173
166920at2759	Complete	L0F63_002688-T1	606.5	724
176625at2759	Complete	L0F63_003206-T1	177.8	342
179362at2759	Complete	L0F63_006306-T1	580.7	1340
245208at2759	Complete	L0F63_005899-T1	1418.3	843
257318at2759	Complete	L0F63_002654-T1	257.9	295
261328at2759	Complete	L0F63_004004-T1	299.1	391
261419at2759	Complete	L0F63_001819-T1	160.9	280
270107at2759	Complete	L0F63_002312-T1	468.1	512
271586at2759	Complete	L0F63_001594-T1	162.2	328
290630at2759	Complete	L0F63_001316-T1	665.2	538
293315at2759	Fragmented	L0F63_003501-T1	552.2	537
296129at2759	Complete	L0F63_005694-T1	1055.5	701
299766at2759	Missing
306227at2759	Complete	L0F63_005534-T1	492.6	482
320059at2759	Complete	L0F63_004430-T1	868.9	451
324863at2759	Complete	L0F63_006112-T1	565.0	523
325552at2759	Complete	L0F63_002905-T1	343.2	400
330169at2759	Missing
331411at2759	Complete	L0F63_000548-T1	247.4	389
341721at2759	Complete	L0F63_005753-T1	182.9	385
345441at2759	Complete	L0F63_006210-T1	407.4	379
355408at2759	Missing
369837at2759	Complete	L0F63_005202-T1	276.9	357
375960at2759	Complete	L0F63_005183-T1	171.4	330
383503at2759	Complete	L0F63_006584-T1	258.6	286
388820at2759	Complete	L0F63_006855-T1	540.8	633
390348at2759	Complete	L0F63_005691-T1	1015.1	728
392369at2759	Complete	L0F63_005304-T1	375.3	330
396755at2759	Missing
418107at2759	Complete	L0F63_005980-T1	432.0	393
426305at2759	Complete	L0F63_003435-T1	411.5	450
450058at2759	Complete	L0F63_002045-T1	155.8	245
453044at2759	Missing
457861at2759	Missing
464990at2759	Complete	L0F63_005670-T1	344.6	350
491869at2759	Missing
513979at2759	Complete	L0F63_001893-T1	95.9	220
543764at2759	Fragmented	L0F63_002606-T1	89.4	139
549762at2759	Complete	L0F63_004176-T1	422.6	340
551907at2759	Complete	L0F63_005022-T1	254.9	350
570797at2759	Complete	L0F63_005875-T1	105.4	360
582756at2759	Complete	L0F63_004642-T1	152.9	319
598949at2759	Complete	L0F63_001252-T1	266.2	409
604979at2759	Missing
621827at2759	Complete	L0F63_000476-T1	278.8	302
625387at2759	Complete	L0F63_002328-T1	267.3	314
655400at2759	Complete	L0F63_004701-T1	189.2	215
664730at2759	Complete	L0F63_003844-T1	648.5	348
671536at2759	Complete	L0F63_005354-T1	314.7	322
671846at2759	Complete	L0F63_007528-T1	151.5	279
673132at2759	Missing
674160at2759	Complete	L0F63_005344-T1	593.1	908
674169at2759	Complete	L0F63_005394-T1	103.7	196
679187at2759	Complete	L0F63_002710-T1	289.3	422
679771at2759	Complete	L0F63_001643-T1	87.8	148
687505at2759	Missing
692986at2759	Missing
708105at2759	Missing
