# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	Conth1|scaffold_280	4200	20204	-	2873.6	3251	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	Conth1|scaffold_258	8855	20094	+	1250.6	2364	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	Conth1|scaffold_8	31029	37226	-	3005.7	1784	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	Conth1|scaffold_133	18270	23882	+	1571.8	1358	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Missing
4466at4751	Complete	Conth1|scaffold_1	86968	93995	+	1736.1	1937	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	Conth1|scaffold_60	61359	72803	-	3005.9	1902	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Fragmented	Conth1|scaffold_27	8387	11060	+	566.4	621	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	Conth1|scaffold_4	116686	123130	+	427.6	814	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	Conth1|scaffold_146	33266	37323	-	793.7	747	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	Conth1|scaffold_350	7260	11396	-	1072.4	913	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	Conth1|scaffold_134	25819	32936	-	1733.6	1349	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	Conth1|scaffold_117	57923	63332	-	469.9	953	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Missing
8406at4751	Complete	Conth1|scaffold_16	178135	180968	+	520.3	652	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	Conth1|scaffold_22	86445	91585	-	2059.8	1402	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	Conth1|scaffold_387	7466	10603	+	1112.3	856	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Missing
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	Conth1|scaffold_11	189726	193862	+	1408.0	995	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Fragmented	Conth1|scaffold_190	12442	13979	-	134.9	179	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	Conth1|scaffold_34	33938	36691	+	133.3	429	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	Conth1|scaffold_6	205731	210255	-	544.9	987	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	Conth1|scaffold_70	11283	14582	+	1188.5	768	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	Conth1|scaffold_9	197481	203192	+	1143.0	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	Conth1|scaffold_126	43162	48097	+	1591.0	1301	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	Conth1|scaffold_85	13326	17322	+	676.8	734	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	Conth1|scaffold_218	4862	7747	+	233.2	612	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	Conth1|scaffold_3	209401	212109	-	772.3	700	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	Conth1|scaffold_16	92456	95491	-	778.6	606	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	Conth1|scaffold_3	327848	330954	+	124.8	422	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	Conth1|scaffold_156	9079	12044	+	1278.5	794	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Missing
21651at4751	Complete	Conth1|scaffold_269	9493	13173	+	781.9	694	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	Conth1|scaffold_13	40901	43301	+	553.9	603	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	Conth1|scaffold_15	155259	158801	-	1165.1	770	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	Conth1|scaffold_78	80257	83550	+	173.2	354	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	Conth1|scaffold_99	919	5554	+	1465.2	1203	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	Conth1|scaffold_161	28491	31949	+	565.0	871	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Fragmented	Conth1|scaffold_2	56026	56244	+	48.6	47	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	Conth1|scaffold_53	94798	98277	-	550.4	593	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Missing
26329at4751	Complete	Conth1|scaffold_182	2257	5796	+	1346.5	930	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Missing
29512at4751	Missing
31256at4751	Missing
31324at4751	Complete	Conth1|scaffold_230	14186	17280	+	363.9	688	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	Conth1|scaffold_188	10962	13362	+	322.8	613	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	Conth1|scaffold_295	3987	6819	-	754.6	690	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Missing
34706at4751	Complete	Conth1|scaffold_116	13152	17090	+	492.6	721	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Fragmented	Conth1|scaffold_6	68487	71676	-	515.6	551	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	Conth1|scaffold_132	3265	7127	+	230.9	450	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	Conth1|scaffold_127	6115	8400	-	837.6	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Duplicated	Conth1|scaffold_109	66938	69501	+	828.8	515	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37573at4751	Duplicated	Conth1|scaffold_85	57601	59977	+	780.2	496	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	Conth1|scaffold_121	51401	53836	+	199.1	303	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Missing
38184at4751	Complete	Conth1|scaffold_39	107552	110550	-	605.0	631	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Missing
43842at4751	Fragmented	Conth1|scaffold_213	30468	30950	+	29.8	105	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	Conth1|scaffold_153	33079	35480	-	285.3	546	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	Conth1|scaffold_62	32232	35651	+	939.1	729	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Missing
46666at4751	Complete	Conth1|scaffold_72	89000	93993	-	670.9	1009	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Missing
46918at4751	Complete	Conth1|scaffold_51	32271	34616	+	356.4	457	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	Conth1|scaffold_38	119726	122394	+	639.6	654	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	Conth1|scaffold_195	7298	10664	+	1123.2	852	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	Conth1|scaffold_16	162470	164556	+	553.4	486	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
