# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Duplicated	scaffold_1228	186141	200992	+	2935.6	2851	https://www.orthodb.org/v10?query=494at4751	Midasin
494at4751	Duplicated	scaffold_1232	34723	49558	+	2901.6	2618	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	scaffold_1052	218327	226854	+	949.5	1697	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	scaffold_199	351050	357172	+	2987.5	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	scaffold_485	60817	66917	+	2978.5	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Duplicated	scaffold_458	360031	364684	+	1541.7	1210	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
3534at4751	Duplicated	scaffold_1011	128086	132739	-	1528.8	1209	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	scaffold_1	1830436	1837962	+	1036.2	1493	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	scaffold_177	6128	12296	+	1759.9	1783	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Duplicated	scaffold_134	666375	673970	-	3104.4	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
4523at4751	Duplicated	scaffold_1821	83791	91386	-	3102.6	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Duplicated	scaffold_54	37117	39896	-	553.9	699	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
5995at4751	Duplicated	scaffold_1195	225954	229018	+	543.1	749	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Duplicated	scaffold_1083	282255	288453	-	408.7	1029	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6186at4751	Duplicated	scaffold_1083	114950	121148	+	404.4	1030	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Duplicated	scaffold_380	455970	459495	-	788.9	788	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6272at4751	Duplicated	scaffold_3694	36596	40175	-	783.9	787	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Duplicated	scaffold_4067	30831	34967	-	1140.8	901	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6377at4751	Duplicated	scaffold_319	207289	211443	+	1138.4	900	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Duplicated	scaffold_1996	3870	10757	+	1771.9	1410	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
6812at4751	Duplicated	scaffold_392	408265	414919	+	1758.2	1394	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Duplicated	scaffold_243	359862	365338	-	687.6	926	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7423at4751	Duplicated	scaffold_2360	58830	64262	-	687.3	924	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	scaffold_1112	192000	193418	-	158.4	455	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	scaffold_4285	1325	4225	+	565.5	620	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	scaffold_939	160834	165936	-	1998.5	1404	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	scaffold_1399	239403	244505	+	1994.1	1404	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	scaffold_2352	12236	14542	+	763.1	650	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Fragmented	scaffold_229	367632	370131	+	408.0	494	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Duplicated	scaffold_46	388298	392407	+	1418.5	986	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	scaffold_3	949615	953725	-	1414.3	998	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Duplicated	scaffold_1341	27188	31947	-	257.9	492	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12812at4751	Duplicated	scaffold_173	281321	286080	+	253.4	470	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Missing
13605at4751	Duplicated	scaffold_2561	69854	74818	-	507.5	1162	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
13605at4751	Duplicated	scaffold_1612	132205	137169	-	505.5	1131	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	scaffold_1677	9372	12812	+	1300.7	797	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	scaffold_319	470303	475951	-	1143.7	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	scaffold_890	187734	193382	-	1141.6	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	scaffold_857	39918	44778	-	1620.5	1233	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Duplicated	scaffold_786	284260	290319	-	833.0	784	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14523at4751	Duplicated	scaffold_29	187857	190961	-	815.9	784	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Duplicated	scaffold_5997	5691	8534	+	257.9	659	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14793at4751	Duplicated	scaffold_5284	10711	13554	+	256.9	657	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
