# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	scaffold_12798	13702	20911	+	1851.5	1378
83779at2759	Complete	scaffold_1827	24578	27947	-	222.5	222
87842at2759	Complete	scaffold_4257	2854	6338	+	498.4	653
97116at2759	Complete	scaffold_4504	102291	105941	+	1006.2	953
100698at2759	Complete	scaffold_1203	73826	98417	+	737.2	495
142542at2759	Complete	scaffold_11257	23281	31026	-	451.6	623
156083at2759	Complete	scaffold_16524	4127	11251	+	3568.7	1889
160593at2759	Complete	scaffold_1883	86705	94333	-	1145.9	1173
166920at2759	Complete	scaffold_2286	61893	66163	-	606.5	724
176625at2759	Complete	scaffold_2954	117777	123628	-	207.2	360
179362at2759	Complete	scaffold_10096	17701	23200	-	611.8	1357
245208at2759	Complete	scaffold_8687	22043	25609	-	1401.3	848
257318at2759	Complete	scaffold_2240	123415	125983	-	257.9	295
261328at2759	Complete	scaffold_4248	21858	28431	+	331.0	453
261419at2759	Complete	scaffold_1279	176985	181907	-	153.5	257
270107at2759	Complete	scaffold_1815	41201	44944	+	466.4	550
271586at2759	Complete	scaffold_1076	222216	225782	-	162.1	328
290630at2759	Complete	scaffold_826	19323	22907	+	667.9	590
293315at2759	Complete	scaffold_3408	86737	101004	-	551.6	573
296129at2759	Complete	scaffold_8075	21294	36404	+	1004.0	636
299766at2759	Missing
306227at2759	Complete	scaffold_7618	41414	44730	-	499.1	479
320059at2759	Complete	scaffold_5100	94872	97263	-	868.9	451
324863at2759	Complete	scaffold_9467	14164	17619	+	565.0	523
325552at2759	Complete	scaffold_2558	142056	152598	+	330.5	381
330169at2759	Complete	scaffold_6941	4246	8222	-	234.7	332
331411at2759	Complete	scaffold_238	237431	240451	-	247.8	389
341721at2759	Complete	scaffold_8244	6550	15328	+	164.7	296
345441at2759	Complete	scaffold_9820	11016	22255	+	389.7	361
355408at2759	Missing
369837at2759	Complete	scaffold_6779	3794	6259	+	288.2	357
375960at2759	Complete	scaffold_6720	32699	35213	-	167.0	285
383503at2759	Complete	scaffold_11207	11169	12688	+	341.1	345
388820at2759	Complete	scaffold_12497	16401	27475	-	524.2	549
390348at2759	Complete	scaffold_8065	15931	18838	-	750.9	552
392369at2759	Complete	scaffold_7023	11563	13561	-	376.3	330
396755at2759	Missing
418107at2759	Complete	scaffold_8964	8471	26704	+	327.6	339
426305at2759	Complete	scaffold_3290	33875	36500	+	443.6	480
450058at2759	Complete	scaffold_1523	124124	140670	-	110.5	215
453044at2759	Missing
457861at2759	Complete	scaffold_5924	71932	73060	-	30.5	131
464990at2759	Complete	scaffold_7981	48831	54051	-	343.6	374
491869at2759	Missing
513979at2759	Complete	scaffold_1353	3304	5588	-	76.7	165
543764at2759	Complete	scaffold_2181	13971	16043	-	189.9	227
549762at2759	Complete	scaffold_4583	50453	53353	+	428.6	374
551907at2759	Complete	scaffold_6280	2372	5878	-	254.9	350
570797at2759	Complete	scaffold_8630	51252	54641	+	105.4	360
582756at2759	Complete	scaffold_5500	10307	18355	+	156.5	319
598949at2759	Complete	scaffold_769	145584	149244	-	265.8	406
604979at2759	Complete	scaffold_13783	14965	21044	+	364.8	283
621827at2759	Complete	scaffold_197	331030	333938	+	230.0	260
625387at2759	Complete	scaffold_1832	37873	42666	-	267.1	314
655400at2759	Complete	scaffold_5617	65356	66588	+	213.8	238
664730at2759	Complete	scaffold_3953	6498	8482	-	647.9	348
671536at2759	Fragmented	scaffold_7180	32826	40233	-	180.7	245
671846at2759	Fragmented	scaffold_18103	2416	4084	+	58.1	154
673132at2759	Complete	scaffold_6846	30429	31611	+	196.3	211
674160at2759	Complete	scaffold_7150	20182	28677	+	593.4	908
674169at2759	Missing
679187at2759	Complete	scaffold_2314	129162	131734	+	289.8	422
679771at2759	Complete	scaffold_1119	79594	80949	-	87.8	148
687505at2759	Missing
692986at2759	Missing
708105at2759	Missing
719531at2759	Complete	scaffold_9841	1072	3520	+	396.6	286
720340at2759	Complete	scaffold_6471	43673	44868	+	82.8	232
721605at2759	Missing
722805at2759	Missing
734341at2759	Missing
734666at2759	Complete	scaffold_1074	63077	76093	+	351.6	381
736068at2759	Fragmented	scaffold_6531	2878	15575	-	188.1	190
751335at2759	Missing
759498at2759	Complete	scaffold_10220	3910	6867	+	543.7	422
761109at2759	Missing
768809at2759	Complete	scaffold_8879	14168	17802	+	245.9	212
774318at2759	Missing
777920at2759	Complete	scaffold_984	229381	233343	-	391.5	337
779909at2759	Missing
801857at2759	Complete	scaffold_395	53084	54514	-	235.8	211
