species,superfamily,subfamily,total_TE_len,genomelen,percent
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Academ-H,106,1177390011,9.002964099378622e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,CMC-EnSpm,236,1177390011,2.004433516465429e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Crypton-F,131,1177390011,1.1126304688854711e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Dada,83,1177390011,7.049490757060618e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,DNA,482,1177390011,4.0938006565099017e-05
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Ginger-1,23172,1177390011,0.0019680819255735982
Entomophaga_maimaiga_var_ARSEF_7190,DNA,hAT,43,1177390011,3.652145813898875e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,hAT-Ac,3273291,1177390011,0.27801246565867116
Entomophaga_maimaiga_var_ARSEF_7190,DNA,hAT-hATw,91,1177390011,7.728959745692966e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,hAT-Restless,49,1177390011,4.161747555373136e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Kolobok-H,31,1177390011,2.6329423309503517e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Maverick,43,1177390011,3.652145813898875e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Merlin,47,1177390011,3.991880308215049e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,MULE-F,120,1177390011,1.0192034829485233e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,MULE-MuDR,29793563,1177390011,2.530475264920521
Entomophaga_maimaiga_var_ARSEF_7190,DNA,P,56,1177390011,4.756282920426442e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,P-Fungi,102,1177390011,8.663229605062446e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,PIF-Harbinger,267,1177390011,2.267727749560464e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,PIF-ISL2EU,44,1177390011,3.737079437477918e-6
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Sola-1,510146,1177390011,0.043328548334354774
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Sola-2,4915640,1177390011,0.4175031174100899
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-Ant1,190,1177390011,1.6137388480018284e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-Fot1,573,1177390011,4.866696631079198e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-ISRm11,163631852,1177390011,13.897846123309773
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-Pogo,1466078,1177390011,0.12451931698951707
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-Sagan,205,1177390011,1.7411392833703937e-5
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-Tc1,266263,1177390011,0.022614681415026885
Entomophaga_maimaiga_var_ARSEF_7190,DNA,TcMar-Tc2,253939,1177390011,0.021567959438038752
Entomophaga_maimaiga_var_ARSEF_7190,DNA,Zisupton,265,1177390011,2.2507410248446556e-5
Entomophaga_maimaiga_var_ARSEF_7190,LINE,CR1,421079,1177390011,0.035763765283040094
Entomophaga_maimaiga_var_ARSEF_7190,LINE,CRE,34,1177390011,2.8877432016874822e-6
Entomophaga_maimaiga_var_ARSEF_7190,LINE,Deceiver,107,1177390011,9.087897722957664e-6
Entomophaga_maimaiga_var_ARSEF_7190,LINE,L1,1032689,1177390011,0.08771001880021896
Entomophaga_maimaiga_var_ARSEF_7190,LINE,L1-Tx1,8151430,1177390011,0.6923304872509233
Entomophaga_maimaiga_var_ARSEF_7190,LINE,L1-Zorro,156,1177390011,1.32496452783308e-5
Entomophaga_maimaiga_var_ARSEF_7190,LINE,Penelope,161882,1177390011,0.013749224852222736
Entomophaga_maimaiga_var_ARSEF_7190,LINE,Tad1,1996,1177390011,1.6952751266377102e-4
Entomophaga_maimaiga_var_ARSEF_7190,LINE,Tad1?,60,1177390011,5.0960174147426165e-6
Entomophaga_maimaiga_var_ARSEF_7190,LTR,Copia,92349,1177390011,0.007843535203901096
Entomophaga_maimaiga_var_ARSEF_7190,LTR,Gypsy,521395100,1177390011,44.283975159357794
Entomophaga_maimaiga_var_ARSEF_7190,LTR,LTR,7241,1177390011,6.150043683358547e-4
Entomophaga_maimaiga_var_ARSEF_7190,LTR,Pao,15143,1177390011,0.0012861498618574572
Entomophaga_maimaiga_var_ARSEF_7190,LTR,Unknown,178165631,1177390011,15.132252638076782
Entomophaga_maimaiga_var_ARSEF_7190,RC,Helitron,851967,1177390011,0.07236064447976703
Entomophthora_muscae_UCB,DNA,Academ-H,672,1031188800,6.516750375876853e-5
Entomophthora_muscae_UCB,DNA,CMC-EnSpm,198,1031188800,1.9201139500351437e-5
Entomophthora_muscae_UCB,DNA,Crypton-F,198,1031188800,1.9201139500351437e-5
Entomophthora_muscae_UCB,DNA,Dada,157,1031188800,1.5225145967450382e-5
Entomophthora_muscae_UCB,DNA,DNA,1057,1031188800,1.0250305278722966e-4
Entomophthora_muscae_UCB,DNA,Ginger-1,1993944,1031188800,0.19336362070650884
Entomophthora_muscae_UCB,DNA,hAT,56,1031188800,5.4306253132307106e-6
Entomophthora_muscae_UCB,DNA,hAT-Ac,436919,1031188800,0.04237041752199015
Entomophthora_muscae_UCB,DNA,hAT-Restless,77,1031188800,7.467109805692226e-6
Entomophthora_muscae_UCB,DNA,IS3EU,57,1031188800,5.527600765252687e-6
Entomophthora_muscae_UCB,DNA,Kolobok-H,122,1031188800,1.183100514668119e-5
Entomophthora_muscae_UCB,DNA,Maverick,48,1031188800,4.654821697054895e-6
Entomophthora_muscae_UCB,DNA,Merlin,118,1031188800,1.1443103338593281e-5
Entomophthora_muscae_UCB,DNA,MULE-MuDR,48456911,1031188800,4.699130847813708
Entomophthora_muscae_UCB,DNA,MULE-MuDR?,70,1031188800,6.788281641538388e-6
Entomophthora_muscae_UCB,DNA,P-Fungi,267,1031188800,2.589244568986785e-5
Entomophthora_muscae_UCB,DNA,PIF-Harbinger,852,1031188800,8.262308512272436e-5
Entomophthora_muscae_UCB,DNA,TcMar,88,1031188800,8.533839777933973e-6
Entomophthora_muscae_UCB,DNA,TcMar-Ant1,627,1031188800,6.080360841777956e-5
Entomophthora_muscae_UCB,DNA,TcMar-Fot1,188,1031188800,1.823138498013167e-5
Entomophthora_muscae_UCB,DNA,TcMar-ISRm11,126219977,1031188800,12.240239323778535
Entomophthora_muscae_UCB,DNA,TcMar-Sagan,476,1031188800,4.6160315162461035e-5
Entomophthora_muscae_UCB,DNA,TcMar-Tc1,119779,1031188800,0.01161562266774038
Entomophthora_muscae_UCB,LINE,CR1,316715,1031188800,0.030713580287140434
Entomophthora_muscae_UCB,LINE,L1,1722280,1031188800,0.1670188815084105
Entomophthora_muscae_UCB,LINE,L1-Tx1,2147781,1031188800,0.20828203331921372
Entomophthora_muscae_UCB,LINE,L1-Zorro,60,1031188800,5.818527121318618e-6
Entomophthora_muscae_UCB,LINE,Penelope,1221,1031188800,1.1840702691883387e-4
Entomophthora_muscae_UCB,LINE,Tad1,4205,1031188800,4.077817757524131e-4
Entomophthora_muscae_UCB,LTR,Copia,6548,1031188800,6.349952598399052e-4
Entomophthora_muscae_UCB,LTR,ERV1,62971,1031188800,0.006106641189275912
Entomophthora_muscae_UCB,LTR,Gypsy,424615102,1031188800,41.17724145180786
Entomophthora_muscae_UCB,LTR,LTR,1675181,1031188800,0.16245143469362738
Entomophthora_muscae_UCB,LTR,Ngaro,79,1031188800,7.66106070973618e-6
Entomophthora_muscae_UCB,LTR,Unknown,188410510,1031188800,18.27119437294121
Entomophthora_muscae_UCB,RC,Helitron,176590,1031188800,0.017124895072560913
Massospora_cicadina_MCPNR19,DNA,Academ-H,107,1488883982,7.186590848822766e-6
Massospora_cicadina_MCPNR19,DNA,CMC-Chapaev-3,932996,1488883982,0.06266411696811444
Massospora_cicadina_MCPNR19,DNA,CMC-EnSpm,322,1488883982,2.1626936946924586e-5
Massospora_cicadina_MCPNR19,DNA,Crypton-F,83,1488883982,5.574645237871866e-6
Massospora_cicadina_MCPNR19,DNA,Dada,76,1488883982,5.1044944346778524e-6
Massospora_cicadina_MCPNR19,DNA,DNA,723,1488883982,4.855986152989589e-5
Massospora_cicadina_MCPNR19,DNA,hAT,62,1488883982,4.164192828289827e-6
Massospora_cicadina_MCPNR19,DNA,hAT-Ac,97,1488883982,6.514946844259891e-6
Massospora_cicadina_MCPNR19,DNA,hAT-Charlie,125130,1488883982,0.008404281429095259
Massospora_cicadina_MCPNR19,DNA,hAT-hATw,229,1488883982,1.5380647704489843e-5
Massospora_cicadina_MCPNR19,DNA,hAT-Tag1,71,1488883982,4.7686724323964145e-6
Massospora_cicadina_MCPNR19,DNA,Kolobok-H,175,1488883982,1.1753770079850318e-5
Massospora_cicadina_MCPNR19,DNA,Maverick,707,1488883982,4.748523112259529e-5
Massospora_cicadina_MCPNR19,DNA,MULE-MuDR,296,1488883982,1.988066253506111e-5
Massospora_cicadina_MCPNR19,DNA,MULE-MuDR?,46,1488883982,3.089562420989226e-6
Massospora_cicadina_MCPNR19,DNA,P-Fungi,172,1488883982,1.1552276878481455e-5
